player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source
Yuki Kawamura,80.625,68,154,71,30,0.066666667,0.066666667,0.1,0.1,0.666666667,0.766666667,0.133333333,0.5,0.666666667,0.333333333,0.3,0,0,0,59.91,0,5,-0.146052632,0,0,0,0,0,0,0,0,-0.125,G,imputed
AJ Johnson,70.22,77,160,80.5,213,0.370892019,0.183098592,0.023474178,0.056338028,0.356807512,0.41314554,0.55399061,0.569620253,0.2,0.416666667,0.25,639,5.9,0.59,55.1,0.284863436,1.9,-1.3,9.5,25.7,0,0,0,0,0,0,-3.6,G,measured
Trae Young,80.625,73,164,75,1376,0.159156977,0.261627907,0.112645349,0.037063953,0.425872093,0.462936047,0.420784884,0.525114155,0.451612903,0.431372549,0.332764505,2739,9.1,0.91,73,0.93485676,6.6,-2.6,10.3,47.5,0,0,5.9,6.9,1.4,2.6,0.9,G,imputed
Isaiah Joe,80.625,75,165,79.5,588,0.085034014,0.057823129,0.06462585,0.151360544,0.641156463,0.792517007,0.142857143,0.76,0.394736842,0.561797753,0.376657825,1604,4.1,0.41,73.3,0.269895551,9.2,0.1,0,4.8,9.4,0,32.4,16.2,6.6,8,1.7,G,imputed
Bones Hyland,80.625,74,169,81.5,118,0.127118644,0.06779661,0.110169492,0.06779661,0.618644068,0.686440678,0.194915254,0.533333333,0.384615385,0.5,0.383561644,239,4.1,0.41,59.91,0.619118618,6,-0.146052632,18.8,30.9,0,0,15.4,6.7,0,0,-0.125,G,imputed
Ja Morant,80.625,74,174,78,889,0.293588301,0.310461192,0.075365579,0.059617548,0.255343082,0.31496063,0.604049494,0.62835249,0.47761194,0.320754717,0.31277533,1519,7.1,0.71,60,0.862024622,2.1,-0.1,17.8,28.5,0,1.3,13.7,1.6,1.2,1.7,2.7,F,imputed
Chris Paul,78.83,72,175,76,583,0.02915952,0.111492281,0.222984563,0.084048027,0.548885077,0.632933105,0.140651801,0.823529412,0.469230769,0.346938776,0.384375,2292,10,1,72.4,0.410869673,9.4,0.7,12.5,38.9,0,0,19.5,4,0,0,1.3,G,measured
Dennis Schroder,71.18,73,175,79.75,827,0.187424426,0.195888755,0.166868198,0.043530834,0.401451028,0.444981862,0.38331318,0.561290323,0.463768116,0.5,0.328313253,2105,7.6,0.76,64,0.51557302,5.7,-0.7,12.96666667,38.5,0,0,19.8,8.4,0,3.8,-1,G,measured
Keon Ellis,68.69,76,175,80.5,464,0.135775862,0.107758621,0.064655172,0.232758621,0.459051724,0.691810345,0.243534483,0.793650794,0.333333333,0.5,0.399061033,1948,3.7,0.37,71.8,0.139730666,7.6,2.3,1.9,6.5,2.5,0,43.6,6,3,1.8,2.2,F,measured
Mike Conley,83.92,73,175,77.75,468,0.11965812,0.16025641,0.057692308,0.188034188,0.472222222,0.66025641,0.27991453,0.535714286,0.185185185,0.5,0.375565611,1756,9,0.9,74.3,0.333142024,9.5,1.2,2.8,29.2,0,0,30.9,10.4,0,5.5,1.5,G,measured
Rob Dillingham,80.625,74,175,75,211,0.279620853,0.227488152,0.142180095,0.056872038,0.293838863,0.3507109,0.507109005,0.627118644,0.266666667,0.5,0.306451613,516,6.9,0.69,47,0.524261308,0.3,-1.5,10.7,35.9,0,0,20.7,4.8,0,0,-3.5,G,imputed
