player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality
DeAndre Jordan,F-G,87.35,measured,83,265,90,140,0.792857143,0.2,0.007142857,0,0,0,0.992857143,0.720720721,1,0,0,691,4.1,0.41,0
Nic Claxton,C,93.27,imputed,83,215,86.5,568,0.568661972,0.336267606,0.058098592,0.014084507,0.022887324,0.036971831,0.904929577,0.715170279,0.363636364,0.25,0.230769231,1882,4.5,0.45,0
Steven Adams,C,94.92,measured,83,265,88.5,167,0.676646707,0.311377246,0,0,0,0,0.988023952,0.619469027,0,0,0,794,4,0.4,0
Clint Capela,C,93.27,imputed,82,256,88.5,390,0.707692308,0.279487179,0.01025641,0,0.002564103,0.002564103,0.987179487,0.626811594,0.5,0,0,1176,2.4,0.24,2.3
Kevon Looney,F,85.83,imputed,81,222,87.5,278,0.669064748,0.212230216,0.100719424,0.007194245,0.007194245,0.014388489,0.881294964,0.639784946,0.178571429,1,0,1142,6.6,0.66,7.8
Elfrid Payton,G,80.25,measured,75,195,80,122,0.18852459,0.68852459,0.073770492,0.008196721,0.040983607,0.049180328,0.87704918,0.391304348,0.222222222,0,0.2,511,10,1,7.9
Trayce Jackson-Davis,F,101.59,measured,81,245,85,302,0.708609272,0.268211921,0.013245033,0.006622517,0.003311258,0.009933775,0.976821192,0.682242991,0,0,0,967,5.6,0.56,9.6
Bismack Biyombo,C,93.27,imputed,80,255,90,114,0.51754386,0.447368421,0.035087719,0,0,0,0.964912281,0.711864407,0.25,0,0,528,2.9,0.29,10.2
Moussa Diabate,F,84.89,measured,81,210,86.5,280,0.714285714,0.253571429,0.010714286,0.007142857,0.014285714,0.021428571,0.967857143,0.66,0.666666667,0,0,1241,1.6,0.16,11.4
Yves Missi,C,93.27,measured,83,235,86,492,0.782520325,0.197154472,0.018292683,0,0,0,0.979674797,0.58961039,0.444444444,0,0,1956,2.4,0.24,12.9
Walker Kessler,C,93.27,imputed,86,245,88.25,419,0.76849642,0.145584726,0.00477327,0.019093079,0.059665871,0.07875895,0.914081146,0.736024845,0,0.5,0.08,1740,2.6,0.26,17
Jaxson Hayes,G-F,81.12,measured,84,220,87.5,223,0.807174888,0.170403587,0.00896861,0.004484305,0.00896861,0.013452915,0.977578475,0.805555556,0.5,0,0,1093,3.2,0.32,18.6
Oso Ighodaro,F,99.74,measured,83,235,83,187,0.438502674,0.497326203,0.053475936,0,0.005347594,0.005347594,0.935828877,0.804878049,0.6,0,0,1045,5.2,0.52,18.6
Andre Drummond,C,110.34,measured,83,279,90.25,234,0.64957265,0.226495726,0.038461538,0.034188034,0.042735043,0.076923077,0.876068376,0.592105263,0.444444444,0.25,0.1,751,0.4,0.04,19.5
Zion Williamson,F,85.83,imputed,78,284,82.5,508,0.559055118,0.399606299,0.015748031,0.001968504,0.021653543,0.023622047,0.958661417,0.64084507,0.125,0,0.272727273,857,6.1,0.61,20.2
Ivica Zubac,C,93.27,imputed,84,240,88,942,0.532908705,0.439490446,0.027600849,0,0,0,0.972399151,0.71314741,0.461538462,0,0,2624,3.9,0.39,21
Mason Plumlee,F-C,94.91,measured,82,254,83,202,0.707920792,0.247524752,0.024752475,0.00990099,0.004950495,0.014851485,0.955445545,0.762237762,0,0,0,1300,7.2,0.72,21.4
Kris Murray,F,84.85,measured,80,218,83.75,279,0.448028674,0.114695341,0.007168459,0.218637993,0.211469534,0.430107527,0.562724014,0.624,1,0.278688525,0.169491525,1040,3.7,0.37,21.8
Dereck Lively II,C,93.27,imputed,85,230,91,191,0.696335079,0.303664921,0,0,0,0,1,0.77443609,0,0,0,833,6.1,0.61,22.3
Jalen Duren,G,93.27,imputed,82,250,89,546,0.794871795,0.1996337,0.005494505,0,0,0,0.994505495,0.728110599,1,0,0,2034,4.9,0.49,22.8
Rudy Gobert,C,81.6,measured,85,258,92.5,510,0.837254902,0.149019608,0.01372549,0,0,0,0.98627451,0.756440281,0,0,0,2388,3.1,0.31,23.5
