player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq
A.J. Lawson,G,80.625,imputed,78,179.0,82.0,190,0.363157895,0.089473684,0.015789474,0.189473684,0.342105263,0.531578947,0.452631579,0.565217391,0.333333333,0.305555556,0.338461538,486,3.0,0.3,59.91,0.3065012581039477,1.3,-0.1460526315789473,0.0,6.5,0.0,0.0,0.0,5.6,9.9,0.0
AJ Green,F,80.625,imputed,76,190.0,79.0,424,0.030660377,0.025943396,0.087264151,0.264150943,0.58490566,0.849056604,0.056603774,0.615384615,0.351351351,0.526785714,0.383064516,1659,4.4,0.44,69.5,0.1353538077609319,9.3,0.4,0.0,5.9,5.3,0.0,39.0,16.5,0.0,9.5
AJ Johnson,G,70.22,measured,77,160.0,80.5,213,0.370892019,0.183098592,0.023474178,0.056338028,0.356807512,0.41314554,0.55399061,0.569620253,0.2,0.416666667,0.25,639,5.9,0.59,55.1,0.2848634358493013,1.9,-1.3,9.5,25.7,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Gordon,G-F,93.69,measured,80,235.0,83.75,497,0.432595573,0.116700201,0.104627767,0.130784708,0.213279678,0.344064386,0.549295775,0.646511628,0.5,0.476923077,0.41509434,1447,5.8,0.58,65.0,0.3801385363621004,8.3,0.5,8.5,8.3,4.2,15.2,15.1,2.5,15.1,0.0
Aaron Holiday,G,69.67,measured,72,185.0,79.5,268,0.082089552,0.160447761,0.082089552,0.134328358,0.537313433,0.671641791,0.242537313,0.727272727,0.5,0.472222222,0.381944444,792,4.8,0.48,66.8,0.301146293088745,6.1,0.5,3.7,22.4,0.0,0.0,37.3,3.7,0.0,5.3
Aaron Nesmith,G,84.81,imputed,77,215.0,82.0,379,0.263852243,0.134564644,0.08707124,0.205804749,0.308707124,0.514511873,0.398416887,0.68,0.454545455,0.5,0.384615385,1123,2.3,0.23,76.3,0.2329374828569065,6.5,-0.4,0.0,7.1,4.9,0.0,36.8,3.8,3.6,5.6
Aaron Wiggins,F,77.94,measured,77,190.0,81.75,728,0.32967033,0.15521978,0.049450549,0.159340659,0.304945055,0.464285714,0.48489011,0.691666667,0.388888889,0.353448276,0.400900901,1744,3.5,0.35,65.8,0.3402196398805732,6.4,-0.2,4.2,10.5,4.5,0.0,35.0,4.1,6.3,3.7
Adam Flagler,G,81.44,measured,75,185.0,78.0,96,0.0625,0.083333333,0.104166667,0.09375,0.65625,0.75,0.145833333,0.666666667,0.5,0.0,0.222222222,203,2.8,0.28,59.91,0.2850597757932892,0.1,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adem Bona,G,107.43,measured,82,235.0,87.75,192,0.848958333,0.135416667,0.010416667,0.005208333,0.0,0.005208333,0.984375,0.73006135,0.0,0.0,0.0,0,0.0,0.0,27.1,0.133744729854561,1.3,0.9,0.0,0.0,21.2,4.7,5.4,0.0,20.2,0.0
Ajay Mitchell,G,77.21,measured,77,190.0,78.25,184,0.293478261,0.304347826,0.076086957,0.097826087,0.222826087,0.320652174,0.597826087,0.62962963,0.428571429,0.388888889,0.390243902,597,5.7,0.57,58.6,0.2706303755393484,7.3,0.4,0.0,27.5,0.0,0.0,28.8,6.1,7.4,0.0
