player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,dominance__cpm,position,ath__athleticism_source,pca1,pca2,pca3,cluster_k9,umap1,umap2,size_score,playstyle_variety,playstyle_variety_raw,playstyle_variety_score,size_height_pct,size_wing_pct,shooting_score,creation_score,passing_score,defense_score,portability_score,unicorn_score,unicorn_percentile,is_unicorn,dominance_score,stature__height_inches_pct,stature__wingspan_in_pct,shoot__quality_pct,usage__creation_score_pct,pass__passer_rating_pct,defense__crafted_dpm_pct,portability__score_pct,dominance__cpm_pct,playstyle_variety_pct,name_key,usg_pct,offensive_load,box_creation
Yuki Kawamura,80.625,68,154,71.0,30,0.066666667,0.066666667,0.1,0.1,0.666666667,0.766666667,0.133333333,0.5,0.666666667,0.333333333,0.3,0,5.2796875,0.52796875,59.91,0.0,5.0,-0.146052632,5.752131783,19.4505814,2.540697674,0.913953488,25.48837209,5.338953488,3.997093023,3.2875,-0.125,G,imputed,-4.811504326,-2.205269303,-2.402195162,3,18.769796,-9.34858,0.001872659,4,4,0.671348315,0.001872659,0.001872659,0.620786517,0.064606742,0.647003745,0.36423221,0.483146067,0.331179775,0.059925094,False,0.43071161,0.001872659,0.001872659,0.620786517,0.064606742,0.647003745,0.36423221,0.483146067,0.43071161,0.671348315,Yuki Kawamura,0.0,0.0,0.0
AJ Johnson,70.22,77,160,80.5,213,0.370892019,0.183098592,0.023474178,0.056338028,0.356807512,0.41314554,0.55399061,0.569620253,0.2,0.416666667,0.25,639,5.9,0.59,55.1,0.284863436,1.9,-1.3,9.5,25.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,G,measured,-1.593292696,0.452490461,-4.266909381,3,19.172413,-8.070187,0.308988764,2,2,0.093632959,0.315543071,0.302434457,0.343632959,0.548689139,0.765917603,0.08988764,0.194756554,0.345458801,0.093632959,False,0.008426966,0.315543071,0.302434457,0.343632959,0.548689139,0.765917603,0.08988764,0.194756554,0.008426966,0.093632959,AJ Johnson,17.4,29.1,2.8
Trae Young,80.625,73,164,75.0,1376,0.159156977,0.261627907,0.112645349,0.037063953,0.425872093,0.462936047,0.420784884,0.525114155,0.451612903,0.431372549,0.332764505,2739,9.1,0.91,73.0,0.93485676,6.6,-2.6,10.3,47.5,0.0,0.0,5.9,6.9,1.4,2.6,0.9,G,imputed,-5.537130901,6.071926097,-1.811483364,7,16.367361,-7.1340423,0.028089888,4,4,0.671348315,0.034644195,0.021535581,0.936329588,0.992509363,0.985018727,0.008426966,0.769662921,0.636376404,0.84082397,False,0.786516854,0.034644195,0.021535581,0.936329588,0.992509363,0.985018727,0.008426966,0.769662921,0.786516854,0.671348315,Trae Young,29.6,65.1,15.6
Isaiah Joe,80.625,75,165,79.5,588,0.085034014,0.057823129,0.06462585,0.151360544,0.641156463,0.792517007,0.142857143,0.76,0.394736842,0.561797753,0.376657825,1604,4.1,0.41,73.3,0.269895551,9.2,0.1,0.0,4.8,9.4,0.0,32.4,16.2,6.6,8.0,1.7,G,imputed,-4.644705336,-1.258289173,2.63546204,1,16.555918,-11.907665,0.168071161,5,5,0.905430712,0.13670412,0.199438202,0.941947566,0.516853933,0.380149813,0.505617978,0.956928839,0.561516854,0.715355805,False,0.86423221,0.13670412,0.199438202,0.941947566,0.516853933,0.380149813,0.505617978,0.956928839,0.86423221,0.905430712,Isaiah Joe,17.2,26.7,2.9
Bones Hyland,80.625,74,169,81.5,118,0.127118644,0.06779661,0.110169492,0.06779661,0.618644068,0.686440678,0.194915254,0.533333333,0.384615385,0.5,0.383561644,239,4.1,0.41,59.91,0.619118618,6.0,-0.146052632,18.8,30.9,0.0,0.0,15.4,6.7,0.0,0.0,-0.125,G,imputed,-4.283047656,0.668735612,-1.166448461,3,18.276499,-8.148464,0.238764045,4,4,0.671348315,0.076779026,0.400749064,0.620786517,0.93071161,0.380149813,0.36423221,0.676029963,0.521395131,0.638576779,False,0.43071161,0.076779026,0.400749064,0.620786517,0.93071161,0.380149813,0.36423221,0.676029963,0.43071161,0.671348315,Bones Hyland,28.2,43.9,8.0
Ja Morant,80.625,74,174,78.0,889,0.293588301,0.310461192,0.075365579,0.059617548,0.255343082,0.31496063,0.604049494,0.62835249,0.47761194,0.320754717,0.31277533,1519,7.1,0.71,60.0,0.862024622,2.1,-0.1,17.8,28.5,0.0,1.3,13.7,1.6,1.2,1.7,2.7,F,imputed,-2.173401977,4.901131533,-2.185245785,7,16.765345,-7.1981163,0.093164794,3,3,0.326779026,0.076779026,0.109550562,0.686329588,0.986891386,0.882022472,0.434456929,0.217228464,0.627481273,0.81835206,False,0.93258427,0.076779026,0.109550562,0.686329588,0.986891386,0.882022472,0.434456929,0.217228464,0.93258427,0.326779026,Ja Morant,32.2,59.8,12.4
Chris Paul,78.83,72,175,76.0,583,0.02915952,0.111492281,0.222984563,0.084048027,0.548885077,0.632933105,0.140651801,0.823529412,0.469230769,0.346938776,0.384375,2292,10.0,1.0,72.4,0.410869673,9.4,0.7,12.5,38.9,0.0,0.0,19.5,4.0,0.0,0.0,1.3,G,measured,-5.673144267,3.748853076,-0.534388768,7,17.519289,-8.075979,0.029026217,3,3,0.326779026,0.011235955,0.046816479,0.925093633,0.769662921,0.998127341,0.715355805,0.983146067,0.661891386,0.874531835,False,0.81928839,0.011235955,0.046816479,0.925093633,0.769662921,0.998127341,0.715355805,0.983146067,0.81928839,0.326779026,Chris Paul,14.0,40.6,7.1
Dennis Schroder,71.18,73,175,79.75,827,0.187424426,0.195888755,0.166868198,0.043530834,0.401451028,0.444981862,0.38331318,0.561290323,0.463768116,0.5,0.328313253,2105,7.6,0.76,64.0,0.51557302,5.7,-0.7,12.96666667,38.5,0.0,0.0,19.8,8.4,0.0,3.8,-1.0,G,measured,-4.741596129,3.581805664,-1.823585815,7,17.254885,-7.613444,0.12593633,4,4,0.671348315,0.034644195,0.217228464,0.79494382,0.855805243,0.921348315,0.188202247,0.629213483,0.535393258,0.670411985,False,0.25,0.034644195,0.217228464,0.79494382,0.855805243,0.921348315,0.188202247,0.629213483,0.25,0.671348315,Dennis Schroder,21.6,43.0,7.1
Keon Ellis,68.69,76,175,80.5,464,0.135775862,0.107758621,0.064655172,0.232758621,0.459051724,0.691810345,0.243534483,0.793650794,0.333333333,0.5,0.399061033,1948,3.7,0.37,71.8,0.139730666,7.6,2.3,1.9,6.5,2.5,0.0,43.6,6.0,3.0,1.8,2.2,F,measured,-3.229440471,-1.597376172,1.993427899,1,16.502712,-9.705073,0.257490637,3,3,0.326779026,0.212546816,0.302434457,0.912921348,0.234082397,0.31741573,0.957865169,0.858614232,0.528370787,0.657303371,False,0.907303371,0.212546816,0.302434457,0.912921348,0.234082397,0.31741573,0.957865169,0.858614232,0.907303371,0.326779026,Keon Ellis,12.7,18.9,1.6
Mike Conley,83.92,73,175,77.75,468,0.11965812,0.16025641,0.057692308,0.188034188,0.472222222,0.66025641,0.27991453,0.535714286,0.185185185,0.5,0.375565611,1756,9.0,0.9,74.3,0.333142024,9.5,1.2,2.8,29.2,0.0,0.0,30.9,10.4,0.0,5.5,1.5,G,measured,-5.038784428,1.106008849,-0.003998451,3,17.51406,-8.560443,0.066479401,4,4,0.671348315,0.034644195,0.098314607,0.949438202,0.65917603,0.981273408,0.826779026,0.996254682,0.679307116,0.895131086,False,0.83988764,0.034644195,0.098314607,0.949438202,0.65917603,0.981273408,0.826779026,0.996254682,0.83988764,0.671348315,Mike Conley,14.4,33.7,5.3
