player_name,player_id,athleticism_score,athleticism_source,position
Jacob Toppin,1631210,,imputed,F
Jalen Johnson,1630552,,imputed,F
Keaton Wallace,1630811,,imputed,G
Caris LeVert,1627747,,imputed,G
Kobe Bufkin,1641723,76.07,measured,G
Dyson Daniels,1630700,78.51,measured,G
Zaccharie Risacher,1642258,70.58,measured,F
Trae Young,1629027,,imputed,G
Terance Mann,1629611,88.58,measured,G-F
Clint Capela,203991,,imputed,C
Onyeka Okongwu,1630168,,imputed,F-C
Mouhamed Gueye,1631243,,imputed,F
Georges Niang,1627777,79.9,measured,F
Larry Nance Jr.,1626204,,imputed,F-C
Garrison Mathews,1629726,,imputed,G
Dominick Barlow,1631230,85.09,measured,F
Vít Krejčí,1630249,,imputed,G
Daeqwon Plowden,1631342,,imputed,G-F
Jayson Tatum,1628369,,imputed,F-G
Miles Norris,1641936,,imputed,F
Jrue Holiday,201950,78.76,measured,G
Jaylen Brown,1627759,,imputed,G-F
Kristaps Porziņģis,204001,,imputed,F-C
Derrick White,1628401,80.75,measured,G
Payton Pritchard,1630202,,imputed,G
Torrey Craig,1628470,,imputed,F
Drew Peterson,1641809,,imputed,F
JD Davison,1631120,79.58,measured,G
Xavier Tillman,1630214,,imputed,F
Jordan Walsh,1641775,89.27,measured,G
Sam Hauser,1630573,84.05,measured,F
Luke Kornet,1628436,,imputed,C-F
Al Horford,201143,98.6,measured,C-F
Baylor Scheierman,1631248,77.36,measured,G
Neemias Queta,1629674,89.45,measured,C
Neemias Queta,1629674,76.32,measured,C
Max Strus,1629622,,imputed,G-F
Ty Jerome,1629660,72.49,measured,G-F
Evan Mobley,1630596,,imputed,C
Sam Merrill,1630241,,imputed,G
Javonte Green,1629750,,imputed,G
Craig Porter Jr.,1641854,,imputed,G
Darius Garland,1629636,,imputed,G
De'Andre Hunter,1629631,,imputed,F-G
Tristan Thompson,202684,90.45,measured,C-F
Chuma Okeke,1629643,,imputed,F
Emoni Bates,1641734,70.19,measured,F
Jaylon Tyson,1642281,86.53,measured,G-F
Nae'Qwan Tomlin,1641772,78.35,measured,F
Jarrett Allen,1628386,95.76,measured,C
Dean Wade,1629731,,imputed,F-C
Luke Travers,1631247,,imputed,F
Isaac Okoro,1630171,,imputed,F-G
Donovan Mitchell,1628378,99.27,measured,G
Keion Brooks Jr.,1631232,,imputed,F
Bruce Brown,1628971,85.2,measured,G-F
Zion Williamson,1629627,,imputed,F
Herbert Jones,1630529,80.92,measured,F
CJ McCollum,203468,85.05,measured,G
Elfrid Payton,203901,80.25,measured,G
Dejounte Murray,1627749,,imputed,G
Jamal Cain,1631288,,imputed,F
Brandon Boston,1630527,,imputed,G
Antonio Reeves,1641810,75.99,measured,G
Kelly Olynyk,203482,79.57,measured,F-C
Jose Alvarado,1630631,,imputed,G
Karlo Matković,1631255,,imputed,F-C
Yves Missi,1642274,93.27,measured,C
Lester Quinones,1631311,,imputed,G
Jordan Hawkins,1641722,,imputed,G
Trey Murphy III,1630530,92.0,measured,F
Jeremiah Robinson-Earl,1630526,87.74,measured,F
Coby White,1629632,,imputed,G
Lonzo Ball,1628366,,imputed,G
Josh Giddey,1630581,,imputed,G
Jevon Carter,1628975,78.92,measured,G
Jalen Smith,1630188,,imputed,F-C
Nikola Vučević,202696,83.45,measured,C
Ayo Dosunmu,1630245,74.42,measured,G
Jahmir Young,1642443,,imputed,G
Zach Collins,1628380,,imputed,F-C
Kevin Huerter,1628989,82.02,measured,G-F
Matas Buzelis,1641824,82.96,measured,F
Julian Phillips,1641763,92.66,measured,F
Emanuel Miller,1641801,,imputed,F
Talen Horton-Tucker,1629659,83.51,measured,G
Dalen Terry,1631207,,imputed,F
Tre Jones,1630200,,imputed,G
E.J. Liddell,1630604,108.61,measured,F
Patrick Williams,1630172,,imputed,F
Danté Exum,203957,83.73,measured,G
Max Christie,1631108,82.41,measured,G
Jaden Hardy,1630702,,imputed,G
Dereck Lively II,1641726,,imputed,C
Anthony Davis,203076,,imputed,F-C
Dwight Powell,203939,89.02,measured,F-C
Olivier-Maxence Prosper,1641765,96.37,measured,F
Brandon Williams,1630314,,imputed,G
Kyrie Irving,202681,,imputed,G
Naji Marshall,1630230,88.82,measured,F
Caleb Martin,1628997,78.73,measured,F
Kessler Edwards,1630556,78.89,measured,F
Daniel Gafford,1629655,99.48,measured,F-C
Kai Jones,1630539,,imputed,C-F
P.J. Washington,1629023,,imputed,F
Spencer Dinwiddie,203915,,imputed,G
Klay Thompson,202691,76.5,measured,G
Christian Braun,1631128,92.15,measured,G
Michael Porter Jr.,1629008,,imputed,F
Julian Strawther,1631124,79.48,measured,G
Julian Strawther,1631124,81.21,measured,G
Russell Westbrook,201566,79.57,measured,G
Hunter Tyson,1641816,,imputed,F
DeAndre Jordan,201599,87.35,measured,C
Peyton Watson,1631212,78.97,measured,G
Dario Šarić,203967,,imputed,F-C
PJ Hall,1641790,100.14,measured,C
DaRon Holmes II,1641747,87.2,measured,F
DaRon Holmes II,1641747,87.25,measured,F
Nikola Jokić,203999,,imputed,C
Spencer Jones,1642461,,imputed,F
Zeke Nnaji,1630192,103.79,measured,F-C
Trey Alexander,1641725,71.41,measured,G
Trey Alexander,1641725,76.3,measured,G
Jalen Pickett,1629618,78.36,measured,G
Jamal Murray,1627750,,imputed,G
Vlatko Čančar,1628427,,imputed,F
Aaron Gordon,203932,93.69,measured,F
Gary Payton II,1627780,79.81,measured,G
Jonathan Kuminga,1630228,,imputed,F
Taran Armstrong,1642379,,imputed,G
Brandin Podziemski,1641764,86.22,measured,G
Moses Moody,1630541,,imputed,G
Kevon Looney,1626172,,imputed,F
Buddy Hield,1627741,,imputed,G
Jimmy Butler III,202710,,imputed,F
Braxton Key,1630296,,imputed,F
Gui Santos,1630611,,imputed,F
Quinten Post,1642366,80.92,measured,C
Draymond Green,203110,88.24,measured,F
Stephen Curry,201939,75.26,measured,G
Kevin Knox II,1628995,,imputed,F
Trayce Jackson-Davis,1631218,101.59,measured,F
Jackson Rowe,1642050,,imputed,F
Pat Spencer,1630311,,imputed,G
Aaron Holiday,1628988,69.67,measured,G
Amen Thompson,1641708,,imputed,G-F
Jock Landale,1629111,,imputed,C
N'Faly Dante,1642368,92.72,measured,C
Jalen Green,1630224,,imputed,G
Fred VanVleet,1627832,,imputed,G
Cam Whitmore,1641715,96.44,measured,F
Jae'Sean Tate,1630256,,imputed,F
Dillon Brooks,1628415,90.45,measured,G-F
Jabari Smith Jr.,1631095,,imputed,F
Steven Adams,203500,94.92,measured,C
Reed Sheppard,1642263,80.96,measured,G
Tari Eason,1631106,,imputed,F
Nate Williams,1631466,,imputed,G
Alperen Sengun,1630578,,imputed,C
Jeff Green,201145,98.54,measured,F
David Roddy,1631223,92.98,measured,F
Jack McVeigh,1629098,,imputed,G-F
James Harden,201935,92.14,measured,G
Kawhi Leonard,202695,80.17,measured,F
Seth Lundy,1641754,89.67,measured,G-F
Amir Coffey,1629599,,imputed,G-F
Kris Dunn,1627739,,imputed,G
Trentyn Flowers,1642280,91.42,measured,F
Bogdan Bogdanović,203992,,imputed,G
Jordan Miller,1641757,83.17,measured,G
Cam Christie,1642353,83.77,measured,G
Drew Eubanks,1629234,,imputed,F-C
Kobe Brown,1641738,94.3,measured,F
Patrick Baldwin Jr.,1631116,76.41,measured,F
Norman Powell,1626181,92.24,measured,G
Ben Simmons,1627732,,imputed,G-F
Nicolas Batum,201587,,imputed,G-F
Ivica Zubac,1627826,,imputed,C
Derrick Jones Jr.,1627884,,imputed,F
Patty Mills,201988,70.11,measured,G
Jarred Vanderbilt,1629020,,imputed,F
Dalton Knecht,1642261,87.92,measured,F
Gabe Vincent,1629216,,imputed,G
Bronny James,1642355,89.5,measured,G
Christian Koloko,1631132,83.99,measured,C
