team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct,bsparq_imputed,bsparq_source
Toronto Raptors,A.J. Lawson,1630639,G,a j lawson,,,,,,,,,80.625,imputed
Denver Nuggets,Aaron Gordon,203932,F,aaron gordon,602,2014,Aaron Gordon,6' 7.5'',220.1,BIG,93.69,70.60%,93.69,measured
Houston Rockets,Aaron Holiday,1628988,G,aaron holiday,407,2018,Aaron Holiday,5' 11.75'',187,PG,69.67,13.30%,69.67,measured
Indiana Pacers,Aaron Nesmith,1630174,G-F,aaron nesmith,,,,,,,,,84.81,imputed
Oklahoma City Thunder,Aaron Wiggins,1630598,G,aaron wiggins,259,2021,Aaron Wiggins,6'4.5'',190,WING,77.94,22.20%,77.94,measured
Oklahoma City Thunder,Adam Flagler,1641745,G,adam flagler,151,2023,Adam Flagler,6' 1.00'',191.8,PG,81.44,77.50%,81.44,measured
Philadelphia 76ers,Adem Bona,1641737,F,adem bona,74,2024,Adem Bona,6' 8.25'',243.2,BIG,107.43,99.00%,107.43,measured
Milwaukee Bucks,AJ Green,1631260,G,aj green,,,,,,,,,80.625,imputed
Washington Wizards,AJ Johnson,1642358,G,aj johnson,75,2024,AJ Johnson,6' 4.25'',167,WING,70.22,3.70%,70.22,measured
Oklahoma City Thunder,Ajay Mitchell,1642349,G,ajay mitchell,76,2024,Ajay Mitchell,6' 3.25'',197,PG,77.21,53.40%,77.21,measured
Boston Celtics,Al Horford,201143,C-F,al horford,964,2007,Al Horford,6' 8'',246,BIG,98.6,88.10%,98.6,measured
Miami Heat,Alec Burks,202692,G,alec burks,755,2011,Alec Burks,6' 5'',192.6,WING,77.76,21.50%,77.76,measured
Oklahoma City Thunder,Alex Caruso,1627936,G,alex caruso,,,,,,,,,80.625,imputed
Oklahoma City Thunder,Alex Ducas,1642505,G,alex ducas,,,,,,,,,80.625,imputed
Los Angeles Lakers,Alex Len,203458,C,alex len,,,,,,,,,93.27,imputed
Philadelphia 76ers,Alex Reese,1642024,F-C,alex reese,,,,,,,,,95.17,imputed
Washington Wizards,Alex Sarr,1642259,C,alex sarr,,,,,,,,,93.27,imputed
Houston Rockets,Alperen Sengun,1630578,C,alperen sengun,,,,,,,,,93.27,imputed
Houston Rockets,Amen Thompson,1641708,G-F,amen thompson,,,,,,,,,84.81,imputed
Los Angeles Clippers,Amir Coffey,1629599,G-F,amir coffey,,,,,,,,,84.81,imputed
