player_name,team,position
Jacob Toppin,Atlanta Hawks,F
Jalen Johnson,Atlanta Hawks,F
Keaton Wallace,Atlanta Hawks,G
Caris LeVert,Atlanta Hawks,G
Trae Young,Atlanta Hawks,G
Clint Capela,Atlanta Hawks,C
Onyeka Okongwu,Atlanta Hawks,F-C
Mouhamed Gueye,Atlanta Hawks,F
Larry Nance Jr.,Atlanta Hawks,F-C
Garrison Mathews,Atlanta Hawks,G
Vít Krejčí,Atlanta Hawks,G
Daeqwon Plowden,Atlanta Hawks,G-F
Jayson Tatum,Boston Celtics,F-G
Miles Norris,Boston Celtics,F
Jaylen Brown,Boston Celtics,G-F
Kristaps Porziņģis,Boston Celtics,F-C
Payton Pritchard,Boston Celtics,G
Torrey Craig,Boston Celtics,F
Drew Peterson,Boston Celtics,F
Xavier Tillman,Boston Celtics,F
Luke Kornet,Boston Celtics,C-F
Max Strus,Cleveland Cavaliers,G-F
Evan Mobley,Cleveland Cavaliers,C
Sam Merrill,Cleveland Cavaliers,G
Javonte Green,Cleveland Cavaliers,G
Craig Porter Jr.,Cleveland Cavaliers,G
Darius Garland,Cleveland Cavaliers,G
De'Andre Hunter,Cleveland Cavaliers,F-G
Chuma Okeke,Cleveland Cavaliers,F
Dean Wade,Cleveland Cavaliers,F-C
Luke Travers,Cleveland Cavaliers,F
Isaac Okoro,Cleveland Cavaliers,F-G
Keion Brooks Jr.,New Orleans Pelicans,F
Zion Williamson,New Orleans Pelicans,F
Dejounte Murray,New Orleans Pelicans,G
Jamal Cain,New Orleans Pelicans,F
Brandon Boston,New Orleans Pelicans,G
Jose Alvarado,New Orleans Pelicans,G
Karlo Matković,New Orleans Pelicans,F-C
Lester Quinones,New Orleans Pelicans,G
Jordan Hawkins,New Orleans Pelicans,G
Coby White,Chicago Bulls,G
Lonzo Ball,Chicago Bulls,G
Josh Giddey,Chicago Bulls,G
Jalen Smith,Chicago Bulls,F-C
Jahmir Young,Chicago Bulls,G
Zach Collins,Chicago Bulls,F-C
Emanuel Miller,Chicago Bulls,F
Dalen Terry,Chicago Bulls,F
Tre Jones,Chicago Bulls,G
Patrick Williams,Chicago Bulls,F
Jaden Hardy,Dallas Mavericks,G
Dereck Lively II,Dallas Mavericks,C
Anthony Davis,Dallas Mavericks,F-C
Brandon Williams,Dallas Mavericks,G
Kyrie Irving,Dallas Mavericks,G
Kai Jones,Dallas Mavericks,C-F
P.J. Washington,Dallas Mavericks,F
Spencer Dinwiddie,Dallas Mavericks,G
Michael Porter Jr.,Denver Nuggets,F
Hunter Tyson,Denver Nuggets,F
Dario Šarić,Denver Nuggets,F-C
Nikola Jokić,Denver Nuggets,C
Spencer Jones,Denver Nuggets,F
Jamal Murray,Denver Nuggets,G
Vlatko Čančar,Denver Nuggets,F
Jonathan Kuminga,Golden State Warriors,F
Taran Armstrong,Golden State Warriors,G
Moses Moody,Golden State Warriors,G
Kevon Looney,Golden State Warriors,F
Buddy Hield,Golden State Warriors,G
Jimmy Butler III,Golden State Warriors,F
Braxton Key,Golden State Warriors,F
Gui Santos,Golden State Warriors,F
