team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct
Atlanta Hawks,Jacob Toppin,1631210,F,jacob toppin,,,,,,,,
Atlanta Hawks,Jalen Johnson,1630552,F,jalen johnson,,,,,,,,
Atlanta Hawks,Keaton Wallace,1630811,G,keaton wallace,,,,,,,,
Atlanta Hawks,Caris LeVert,1627747,G,caris levert,,,,,,,,
Atlanta Hawks,Kobe Bufkin,1641723,G,kobe bufkin,184.0,2023.0,Kobe Bufkin,6' 4.25'',186.8,WING,76.07,15.60%
Atlanta Hawks,Dyson Daniels,1630700,G,dyson daniels,220.0,2022.0,Dyson Daniels,6' 6.00'',195.2,WING,78.51,24.50%
Atlanta Hawks,Zaccharie Risacher,1642258,F,zaccharie risacher,149.0,2024.0,Zaccharie Risacher,6' 8.5'',194.6,WING,70.58,4.10%
Atlanta Hawks,Trae Young,1629027,G,trae young,,,,,,,,
Atlanta Hawks,Terance Mann,1629611,G-F,terance mann,401.0,2019.0,Terance Mann,6' 4.75'',204.6,WING,88.58,74.10%
Atlanta Hawks,Clint Capela,203991,C,clint capela,,,,,,,,
Atlanta Hawks,Onyeka Okongwu,1630168,F-C,onyeka okongwu,,,,,,,,
Atlanta Hawks,Mouhamed Gueye,1631243,F,mouhamed gueye,,,,,,,,
Atlanta Hawks,Georges Niang,1627777,F,georges niang,527.0,2016.0,Georges Niang,6' 6.75'',230.8,BIG,79.9,10.60%
Atlanta Hawks,Larry Nance Jr.,1626204,F-C,larry nance jr,,,,,,,,
Atlanta Hawks,Garrison Mathews,1629726,G,garrison mathews,,,,,,,,
Atlanta Hawks,Dominick Barlow,1631230,F,dominick barlow,218.0,2022.0,Dominick Barlow,6' 8.75'',221.0,BIG,85.09,28.30%
Atlanta Hawks,Vít Krejčí,1630249,G,vit krejci,,,,,,,,
Atlanta Hawks,Daeqwon Plowden,1631342,G-F,daeqwon plowden,,,,,,,,
Boston Celtics,Jayson Tatum,1628369,F-G,jayson tatum,,,,,,,,
Boston Celtics,Miles Norris,1641936,F,miles norris,,,,,,,,
Boston Celtics,Jrue Holiday,201950,G,jrue holiday,878.0,2009.0,Jrue Holiday,6' 3.25'',199.0,COMBO G,78.76,44.80%
Boston Celtics,Jaylen Brown,1627759,G-F,jaylen brown,,,,,,,,
Boston Celtics,Kristaps Porziņģis,204001,F-C,kristaps porzingis,,,,,,,,
Boston Celtics,Derrick White,1628401,G,derrick white,467.0,2017.0,Derrick White,6' 3.25'',189.8,PG,80.75,74.10%
Boston Celtics,Payton Pritchard,1630202,G,payton pritchard,,,,,,,,
Boston Celtics,Torrey Craig,1628470,F,torrey craig,,,,,,,,
Boston Celtics,Drew Peterson,1641809,F,drew peterson,,,,,,,,
Boston Celtics,JD Davison,1631120,G,jd davison,230.0,2022.0,JD Davison,6' 0.50'',191.8,PG,79.58,67.70%
Boston Celtics,Xavier Tillman,1630214,F,xavier tillman,,,,,,,,
Boston Celtics,Jordan Walsh,1641775,G,jordan walsh,179.0,2023.0,Jordan Walsh,6' 5.75'',204.0,WING,89.27,77.00%
Boston Celtics,Sam Hauser,1630573,F,sam hauser,304.0,2021.0,Sam Hauser,6'6.75'',217.4,WING,84.05,51.80%
Boston Celtics,Luke Kornet,1628436,C-F,luke kornet,,,,,,,,
Boston Celtics,Al Horford,201143,C-F,al horford,964.0,2007.0,Al Horford,6' 8'',246.0,BIG,98.6,88.10%
Boston Celtics,Baylor Scheierman,1631248,G,baylor scheierman,80.0,2024.0,Baylor Scheierman,6' 6.25'',201.6,WING,77.36,20.00%
Boston Celtics,Neemias Queta,1629674,C,neemias queta,300.0,2021.0,Neemias Queta,6'11.25'',248.4,BIG,89.45,49.70%
Boston Celtics,Neemias Queta,1629674,C,neemias queta,391.0,2019.0,Neemias Queta,6' 10.75'',225.8,BIG,76.32,4.30%
Cleveland Cavaliers,Max Strus,1629622,G-F,max strus,,,,,,,,
Cleveland Cavaliers,Ty Jerome,1629660,G-F,ty jerome,404.0,2019.0,Ty Jerome,6' 4.25'',194.4,PG,72.49,25.30%
Cleveland Cavaliers,Evan Mobley,1630596,C,evan mobley,,,,,,,,
Cleveland Cavaliers,Sam Merrill,1630241,G,sam merrill,,,,,,,,
Cleveland Cavaliers,Javonte Green,1629750,G,javonte green,,,,,,,,
Cleveland Cavaliers,Craig Porter Jr.,1641854,G,craig porter jr,,,,,,,,
Cleveland Cavaliers,Darius Garland,1629636,G,darius garland,,,,,,,,
Cleveland Cavaliers,De'Andre Hunter,1629631,F-G,de andre hunter,,,,,,,,
Cleveland Cavaliers,Tristan Thompson,202684,C-F,tristan thompson,803.0,2011.0,Tristan Thompson,6' 7.5'',227.4,BIG,90.45,54.90%
Cleveland Cavaliers,Chuma Okeke,1629643,F,chuma okeke,,,,,,,,
Cleveland Cavaliers,Emoni Bates,1641734,F,emoni bates,168.0,2023.0,Emoni Bates,6' 8.25'',179.2,WING,70.19,3.60%
Cleveland Cavaliers,Jaylon Tyson,1642281,G-F,jaylon tyson,108.0,2024.0,Jaylon Tyson,6' 5.50'',218.2,WING,86.53,64.60%
Cleveland Cavaliers,Nae'Qwan Tomlin,1641772,F,nae qwan tomlin,125.0,2024.0,Nae'Qwan Tomlin,6' 8.25'',205.0,BIG,78.35,7.30%
Cleveland Cavaliers,Jarrett Allen,1628386,C,jarrett allen,483.0,2017.0,Jarrett Allen,6' 9'',233.6,BIG,95.76,79.20%
Cleveland Cavaliers,Dean Wade,1629731,F-C,dean wade,,,,,,,,
Cleveland Cavaliers,Luke Travers,1631247,F,luke travers,,,,,,,,
Cleveland Cavaliers,Isaac Okoro,1630171,F-G,isaac okoro,,,,,,,,
Cleveland Cavaliers,Donovan Mitchell,1628378,G,donovan mitchell,470.0,2017.0,Donovan Mitchell,6' 1.25'',211.4,WING,99.27,98.10%
New Orleans Pelicans,Keion Brooks Jr.,1631232,F,keion brooks jr,,,,,,,,
New Orleans Pelicans,Bruce Brown,1628971,G-F,bruce brown,415.0,2018.0,Bruce Brown,6' 3.5'',194.6,COMBO G,85.2,75.70%
New Orleans Pelicans,Zion Williamson,1629627,F,zion williamson,,,,,,,,
New Orleans Pelicans,Herbert Jones,1630529,F,herbert jones,273.0,2021.0,Herbert Jones,6'6.0'',206.4,WING,80.92,35.60%
New Orleans Pelicans,CJ McCollum,203468,G,cj mccollum,658.0,2013.0,CJ McCollum,6' 2.25'',197.0,COMBO G,85.05,75.10%
New Orleans Pelicans,Elfrid Payton,203901,G,elfrid payton,616.0,2014.0,Elfrid Payton,6' 2.5'',185.4,PG,80.25,71.40%
New Orleans Pelicans,Dejounte Murray,1627749,G,dejounte murray,,,,,,,,
New Orleans Pelicans,Jamal Cain,1631288,F,jamal cain,,,,,,,,
New Orleans Pelicans,Brandon Boston,1630527,G,brandon boston,,,,,,,,
New Orleans Pelicans,Antonio Reeves,1641810,G,antonio reeves,79.0,2024.0,Antonio Reeves,6' 4.50'',186.6,WING,75.99,15.30%
New Orleans Pelicans,Kelly Olynyk,203482,F-C,kelly olynyk,672.0,2013.0,Kelly Olynyk,6' 10.75'',234.0,BIG,79.57,9.80%
New Orleans Pelicans,Jose Alvarado,1630631,G,jose alvarado,,,,,,,,
New Orleans Pelicans,Karlo Matković,1631255,F-C,karlo matkovic,,,,,,,,
New Orleans Pelicans,Yves Missi,1642274,C,yves missi,148.0,2024.0,Yves Missi,6' 10.75'',229.4,BIG,93.27,68.70%
New Orleans Pelicans,Lester Quinones,1631311,G,lester quinones,,,,,,,,
New Orleans Pelicans,Jordan Hawkins,1641722,G,jordan hawkins,,,,,,,,
New Orleans Pelicans,Trey Murphy III,1630530,F,trey murphy iii,310.0,2021.0,Trey Murphy III,6'7.5'',206.0,WING,92.0,86.50%
New Orleans Pelicans,Jeremiah Robinson-Earl,1630526,F,jeremiah robinson earl,278.0,2021.0,Jeremiah Robinson-Earl,6'7.75'',242.4,BIG,87.74,40.90%
Chicago Bulls,Coby White,1629632,G,coby white,,,,,,,,
Chicago Bulls,Lonzo Ball,1628366,G,lonzo ball,,,,,,,,
Chicago Bulls,Josh Giddey,1630581,G,josh giddey,,,,,,,,
Chicago Bulls,Jevon Carter,1628975,G,jevon carter,433.0,2018.0,Jevon Carter,6' 0.25'',196.2,PG,78.92,63.90%
Chicago Bulls,Jalen Smith,1630188,F-C,jalen smith,,,,,,,,
Chicago Bulls,Nikola Vučević,202696,C,nikola vucevic,794.0,2011.0,Nikola Vucevic,6' 10.25'',259.8,BIG,83.45,21.60%
Chicago Bulls,Ayo Dosunmu,1630245,G,ayo dosunmu,263.0,2021.0,Ayo Dosunmu,6'3.5'',194.4,WING,74.42,10.90%
Chicago Bulls,Jahmir Young,1642443,G,jahmir young,,,,,,,,
Chicago Bulls,Zach Collins,1628380,F-C,zach collins,,,,,,,,
Chicago Bulls,Kevin Huerter,1628989,G-F,kevin huerter,439.0,2018.0,Kevin Huerter,6' 6.25'',194.0,WING,82.02,41.20%
Chicago Bulls,Matas Buzelis,1641824,F,matas buzelis,121.0,2024.0,Matas Buzelis,6' 8.75'',197.0,WING,82.96,46.10%
Chicago Bulls,Julian Phillips,1641763,F,julian phillips,181.0,2023.0,Julian Phillips,6' 6.75'',196.6,WING,92.66,88.30%
Chicago Bulls,Emanuel Miller,1641801,F,emanuel miller,,,,,,,,
Chicago Bulls,Talen Horton-Tucker,1629659,G,talen horton tucker,400.0,2019.0,Talen Horton-Tucker,6' 2.5'',235.4,WING,83.51,49.00%
Chicago Bulls,Dalen Terry,1631207,F,dalen terry,,,,,,,,
Chicago Bulls,Tre Jones,1630200,G,tre jones,,,,,,,,
Chicago Bulls,E.J. Liddell,1630604,F,e j liddell,221.0,2022.0,E.J. Liddell,6' 5.50'',243.0,BIG,108.61,99.30%
Chicago Bulls,Patrick Williams,1630172,F,patrick williams,,,,,,,,
Dallas Mavericks,Danté Exum,203957,G,dante exum,610.0,2014.0,Dante Exum,6' 4.5'',196.3,WING,83.73,50.20%
Dallas Mavericks,Max Christie,1631108,G,max christie,244.0,2022.0,Max Christie,6' 4.25'',189.2,WING,82.41,43.20%
Dallas Mavericks,Jaden Hardy,1630702,G,jaden hardy,,,,,,,,
Dallas Mavericks,Dereck Lively II,1641726,C,dereck lively ii,,,,,,,,
Dallas Mavericks,Anthony Davis,203076,F-C,anthony davis,,,,,,,,
Dallas Mavericks,Dwight Powell,203939,F-C,dwight powell,615.0,2014.0,Dwight Powell,6' 9.5'',234.4,BIG,89.02,47.40%
Dallas Mavericks,Olivier-Maxence Prosper,1641765,F,olivier maxence prosper,191.0,2023.0,Olivier-Maxence Prosper,6' 6.75'',212.4,BIG,96.37,81.40%
Dallas Mavericks,Brandon Williams,1630314,G,brandon williams,,,,,,,,
Dallas Mavericks,Kyrie Irving,202681,G,kyrie irving,,,,,,,,
Dallas Mavericks,Naji Marshall,1630230,F,naji marshall,333.0,2020.0,Naji Marshall,6'5.75'',233.5,WING,88.82,75.20%
Dallas Mavericks,Caleb Martin,1628997,F,caleb martin,417.0,2018.0,Caleb Martin,6' 4.75'',195.8,WING,78.73,25.50%
Dallas Mavericks,Kessler Edwards,1630556,F,kessler edwards,289.0,2021.0,Kessler Edwards,6'7.0'',203.0,BIG,78.89,8.40%
Dallas Mavericks,Daniel Gafford,1629655,F-C,daniel gafford,358.0,2019.0,Daniel Gafford,6' 9.25'',237.6,BIG,99.48,90.30%
Dallas Mavericks,Kai Jones,1630539,C-F,kai jones,,,,,,,,
Dallas Mavericks,P.J. Washington,1629023,F,p j washington,,,,,,,,
Dallas Mavericks,Spencer Dinwiddie,203915,G,spencer dinwiddie,,,,,,,,
