player_name,team,position,minutes,passer_rating,passing_score
A.J. LawsonTOR | SG,354,354,486,3,0.3
Aaron GordonDEN | PF,133,133,1447,5.8,0.58
Aaron HolidayHOU | PG,214,214,792,4.8,0.48
Aaron NesmithIND | SF,426,426,1123,2.3,0.23
Aaron WigginsOKC | SG,326,326,1744,3.5,0.35
Adam FlaglerSAS | SG,377,377,203,2.8,0.28
AJ GreenMIL | SG,247,247,1659,4.4,0.44
AJ JohnsonWAS | SG,128,128,639,5.9,0.59
Ajay MitchellOKC | SG,139,139,597,5.7,0.57
Al Horford| C,166,166,1659,5.3,0.53
Alec Burks| SG,328,328,863,3.4,0.34
Alex CarusoOKC | PG,71,71,1041,7,0.7
Alex Ducas| SG,444,444,125,1.8,0.18
Alex Len| C,79,79,380,6.8,0.68
Alex SarrWAS | PF,303,303,1814,3.8,0.38
Alperen SengunHOU | C,118,118,2395,6.1,0.61
Amen ThompsonHOU | SF,134,134,2225,5.8,0.58
Amir Coffey| SF,402,402,1748,2.5,0.25
Andre DrummondPHI | C,477,477,751,0.4,0.04
Andre Jackson Jr.MIL | SF,215,215,980,4.8,0.48
Andrew NembhardIND | PG,31,31,1881,8,0.8
Andrew WigginsMIA | SF,298,298,1842,3.8,0.38
Anfernee SimonsBOS | PG,158,158,2292,5.5,0.55
Anthony BlackORL | PG,168,168,1887,5.3,0.53
Anthony DavisDAL | C,262,262,1706,4.2,0.42
Anthony EdwardsMIN | SG,240,240,2871,4.5,0.45
Anthony GillWAS | PF,425,425,397,2.3,0.23
Antonio ReevesCHA | SG,407,407,660,2.5,0.25
Ariel HukportiNYK | C,475,475,217,0.6,0.06
Ausar ThompsonDET | SF,228,228,1328,4.6,0.46
Austin ReavesLAL | SG,67,67,2550,7.1,0.71
Ayo DosunmuCHI | SG,49,49,1394,7.5,0.75
Bam AdebayoMIA | C,135,135,2674,5.8,0.58
Baylor ScheiermanBOS | SG,164,164,384,5.4,0.54
Ben SheppardIND | SG,169,169,1228,5.3,0.53
Ben Simmons| PF,1,1,1120,10,1
Bennedict MathurinIND | SF,428,428,2149,2.2,0.22
Bilal CoulibalyWAS | SF,213,213,1948,4.8,0.48
Bismack Biyombo| C,368,368,528,2.9,0.29
Blake WesleyPOR | PG,57,57,683,7.3,0.73
Bobby PortisMIL | PF,289,289,1244,3.9,0.39
Bogdan BogdanovićLAC | SG,188,188,1348,5.2,0.52
Bol Bol| C,440,440,448,2,0.2
Bones HylandMIN | PG,272,272,239,4.1,0.41
Bradley BealLAC | SG,195,195,1702,5,0.5
Branden CarlsonOKC | C,385,385,246,2.7,0.27
Brandin PodziemskiGSW | SG,96,96,1716,6.5,0.65
Brandon ClarkeMEM | PF,380,380,1207,2.8,0.28
Brandon IngramTOR | SF,156,156,595,5.5,0.55
Brandon MillerCHA | SF,285,285,924,4,0.4
Brandon WilliamsDAL | PG,124,124,487,6,0.6
Brice SensabaughUTA | SF,381,381,1432,2.8,0.28
Bronny JamesLAL | PG,233,233,181,4.6,0.46
Brook LopezLAC | C,349,349,2546,3.1,0.31
Bruce BrownDEN | SG,224,224,922,4.6,0.46
Bruno Fernando| C,218,218,147,4.7,0.47
Bub CarringtonWAS | SG,51,51,2458,7.4,0.74
Buddy HieldGSW | SG,373,373,1863,2.9,0.29
Cade CunninghamDET | SG,24,24,2452,8.3,0.83
Caleb Houstan| SG,347,347,788,3.2,0.32
Caleb MartinDAL | SF,252,252,1218,4.3,0.43
Cam Reddish| SF,369,369,589,2.9,0.29
Cam SpencerMEM | SG,48,48,252,7.5,0.75
Cam ThomasBKN | SG,251,251,781,4.3,0.43
Cam WhitmoreWAS | SF,430,430,827,2.2,0.22
Cameron JohnsonDEN | SF,176,176,1800,5.3,0.53
Cameron Payne| PG,34,34,1090,7.9,0.79
Caris LeVertDET | SF,93,93,1596,6.6,0.66
Cason WallaceOKC | PG,159,159,1876,5.5,0.55
Charles Bassey| C,471,471,376,1,0.1
Chet HolmgrenOKC | C,382,382,877,2.8,0.28
Chris BoucherBOS | C,456,456,862,1.5,0.15
Chris PaulLAC | PG,2,2,2292,10,1
Christian BraunDEN | SF,239,239,2675,4.5,0.45
Christian KolokoLAL | C,356,356,342,3,0.3
Chuma Okeke| PF,81,81,196,6.8,0.68
CJ McCollumWAS | SG,200,200,1832,4.9,0.49
Clint CapelaHOU | C,411,411,1176,2.4,0.24
Coby WhiteCHI | PG,210,210,2450,4.8,0.48
Cody Martin| SF,183,183,1173,5.2,0.52
Cody WilliamsUTA | SF,357,357,1060,3,0.3
Colby JonesDET | SG,202,202,515,4.9,0.49
Cole AnthonyMIL | PG,151,151,1234,5.6,0.56
Cole Swider| PF,478,478,169,0.4,0.04
Colin Castleton| C,345,345,432,3.2,0.32
Collin GillespiePHX | PG,27,27,461,8.2,0.82
Collin SextonCHA | PG,196,196,1758,4.9,0.49
Corey KispertWAS | SF,346,346,1602,3.2,0.32
Cory Joseph| PG,55,55,612,7.3,0.73
Craig Porter Jr.CLE | PG,104,104,513,6.4,0.64
Dalano Banton| SG,138,138,1120,5.7,0.57
Dalen TerryCHI | SG,165,165,987,5.3,0.53
Dalton KnechtLAL | SF,424,424,1494,2.3,0.23
Damian LillardPOR | PG,66,66,2093,7.1,0.71
Damion Baugh| SG,94,94,370,6.6,0.66
Damion Lee| SG,397,397,144,2.6,0.26
D'Angelo RussellDAL | PG,41,41,1480,7.6,0.76
Daniel GaffordDAL | C,392,392,1226,2.7,0.27
Daniel Theis| C,95,95,621,6.5,0.65
Danté ExumDAL | SG,62,62,372,7.1,0.71
DaQuan JeffriesCHA | SG,408,408,1071,2.5,0.25
Dario ŠarićSAC | PF,157,157,210,5.5,0.55
Dariq WhiteheadBKN | SG,466,466,246,1.3,0.13
Darius GarlandCLE | PG,45,45,2301,7.6,0.76
David RoddyTOR | PF,268,268,410,4.2,0.42
Davion MitchellMIA | PG,17,17,2027,8.6,0.86
Day'Ron Sharpe| C,245,245,907,4.4,0.44
De'Aaron FoxSAS | PG,120,120,2241,6,0.6
Dean WadeCLE | PF,181,181,1252,5.2,0.52
Deandre AytonLAL | C,448,448,1206,1.7,0.17
De'Andre HunterCLE | SF,427,427,1740,2.2,0.22
DeAndre Jordan| C,273,273,691,4.1,0.41
De'Anthony Melton| SG,160,160,121,5.5,0.55
Dejounte MurrayNOP | PG,53,53,1012,7.4,0.74
Delon Wright| PG,35,35,635,7.8,0.78
DeMar DeRozanSAC | SF,140,140,2768,5.7,0.57
Deni AvdijaPOR | SF,174,174,2161,5.3,0.53
Dennis SchröderSAC | PG,43,43,2105,7.6,0.76
Dereck Lively IIDAL | C,114,114,833,6.1,0.61
Derrick Jones Jr.LAC | PF,470,470,1873,1.1,0.11
Derrick WhiteBOS | SG,80,80,2574,6.8,0.68
Desmond BaneORL | SG,83,83,2205,6.7,0.67
Devin BookerPHX | SG,59,59,2795,7.2,0.72
Devin CarterSAC | SG,172,172,396,5.3,0.53
Devin VassellSAS | SG,254,254,1983,4.3,0.43
Dillon BrooksPHX | SF,400,400,2388,2.6,0.26
Dillon JonesWAS | SF,115,115,551,6.1,0.61
Domantas SabonisSAC | C,54,54,2429,7.4,0.74
Dominick Barlow| PF,320,320,375,3.5,0.35
Donovan ClinganPOR | C,398,398,1324,2.6,0.26
Donovan MitchellCLE | SG,130,130,2232,5.9,0.59
Donte DiVincenzoMIN | SG,87,87,1606,6.7,0.67
Dorian Finney-SmithHOU | SF,362,362,1818,3,0.3
Doug McDermottSAC | SF,474,474,342,0.7,0.07
Draymond GreenGSW | PF,19,19,1983,8.4,0.84
Drew EubanksSAC | C,323,323,746,3.5,0.35
Drew PetersonCHA | PF,244,244,186,4.4,0.44
Drew TimmeBKN | C,340,340,254,3.2,0.32
Dru Smith| SG,222,222,268,4.6,0.46
Duncan RobinsonDET | SF,187,187,1785,5.2,0.52
Duop ReathPOR | C,390,390,469,2.7,0.27
Dwight PowellDAL | C,23,23,551,8.3,0.83
Dyson DanielsATL | SG,109,109,2571,6.3,0.63
Elfrid Payton| PG,3,3,511,10,1
Elijah HarklessUTA | SG,292,292,138,3.9,0.39
Enrique FreemanMIN | C,383,383,181,2.8,0.28
Eric GordonPHI | SG,191,191,768,5,0.5
Evan MobleyCLE | PF,217,217,2167,4.7,0.47
Franz WagnerORL | SF,142,142,2023,5.7,0.57
Fred VanVleetHOU | PG,58,58,2111,7.3,0.73
Gabe VincentLAL | SG,276,276,1527,4.1,0.41
Garrett TempleTOR | SF,37,37,227,7.7,0.77
Garrison MathewsATL | SG,299,299,830,3.8,0.38
Gary HarrisMIL | SG,370,370,711,2.9,0.29
Gary Payton IIGSW | SG,207,207,927,4.8,0.48
Gary Trent Jr.MIL | SG,423,423,1893,2.3,0.23
Georges NiangUTA | PF,363,363,1697,3,0.3
GG JacksonMEM | PF,439,439,459,2,0.2
Giannis AntetokounmpoMIL | PF,78,78,2289,6.8,0.68
Goga BitadzeORL | C,144,144,1430,5.7,0.57
Gradey DickTOR | SG,421,421,1587,2.3,0.23
Grant WilliamsCHA | PF,290,290,479,3.9,0.39
Grayson AllenPHX | SG,234,234,1544,4.5,0.45
Guerschon YabuseleNYK | PF,255,255,1895,4.3,0.43
Gui SantosGSW | PF,121,121,762,6,0.6
Harrison BarnesSAS | PF,300,300,2230,3.8,0.38
Haywood HighsmithMIA | SF,235,235,1818,4.5,0.45
Herbert JonesNOP | SF,149,149,648,5.6,0.56
Hunter TysonDEN | PF,403,403,400,2.5,0.25
Immanuel QuickleyTOR | PG,42,42,918,7.6,0.76
Isaac JonesSAC | PF,472,472,304,0.9,0.09
Isaac OkoroCHI | SF,236,236,1053,4.5,0.45
Isaiah CollierUTA | PG,14,14,1839,8.6,0.86
Isaiah HartensteinOKC | C,76,76,1590,6.9,0.69
Isaiah JoeOKC | SG,281,281,1604,4.1,0.41
