player_name,position,ath__athleticism_score,ath__athleticism_source,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__team,pass__position,pass__minutes,pass__passer_rating,pass__passing_score,name_key,in_passing_file
Adem Bona,G,107.43,measured,82,235.0,87.75,192.0,0.848958333,0.135416667,0.010416667,0.005208333,0.0,0.005208333,0.984375,0.73006135,0.0,0.0,0.0,,,,,,adem bona,False
Alex Reese,F-C,95.17,imputed,81,230.0,82.0,54.0,0.166666667,0.055555556,0.018518519,0.277777778,0.462962963,0.740740741,0.222222222,1.0,1.0,0.2,0.48,,,,,,alex reese,False
Anton Watson,F,85.83,imputed,80,225.0,84.0,9.0,0.444444444,0.333333333,0.111111111,0.0,0.111111111,0.111111111,0.777777778,0.75,1.0,0.0,0.0,,,,,,anton watson,False
Bobi Klintman,F,78.25,measured,81,225.0,83.0,10.0,0.2,0.2,0.1,0.2,0.3,0.5,0.4,1.0,1.0,0.5,0.333333333,,,,,,bobi klintman,False
Brandon Boston,G,80.625,imputed,78,188.0,82.75,381.0,0.270341207,0.157480315,0.204724409,0.083989501,0.283464567,0.367454068,0.427821522,0.621359223,0.461538462,0.3125,0.361111111,,,,,,brandon boston,False
Braxton Key,F,85.83,imputed,80,225.0,85.0,4.0,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,braxton key,False
Bryce McGowens,G,75.29,measured,78,190.0,80.75,14.0,0.142857143,0.5,0.071428571,0.071428571,0.214285714,0.285714286,0.642857143,1.0,0.0,0.0,0.0,,,,,,bryce mcgowens,False
Cam Christie,G,83.77,measured,77,190.0,80.0,24.0,0.333333333,0.083333333,0.041666667,0.125,0.416666667,0.541666667,0.416666667,0.5,0.0,0.0,0.2,,,,,,cam christie,False
Chris Livingston,G,89.05,measured,78,208.0,83.0,27.0,0.518518519,0.185185185,0.0,0.111111111,0.185185185,0.296296296,0.703703704,0.571428571,0.0,0.0,0.0,,,,,,chris livingston,False
DaRon Holmes II,F,87.225,measured,81,236.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,daron holmes ii,False
