player_id,player_name,team,position,portability_score,portability_source,age,mp
1631210,Jacob Toppin,,F,5.0,default_5.0,,
1630552,Jalen Johnson,,F,5.4,provided_list,24.0,1284.0
1630811,Keaton Wallace,,G,5.5,provided_list,26.0,501.0
1627747,Caris LeVert,,G,6.3,provided_list,31.0,1596.0
1641723,Kobe Bufkin,,G,0.8,provided_list,22.0,124.0
1630700,Dyson Daniels,,G,2.5,provided_list,22.0,2571.0
1642258,Zaccharie Risacher,,F,0.7,provided_list,20.0,1843.0
1629027,Trae Young,,G,6.6,provided_list,27.0,2739.0
1629611,Terance Mann,,G-F,5.5,provided_list,29.0,1414.0
203991,Clint Capela,,C,0.3,provided_list,31.0,1176.0
1630168,Onyeka Okongwu,,F-C,3.6,provided_list,25.0,2064.0
1631243,Mouhamed Gueye,,F,4.1,provided_list,23.0,533.0
1627777,Georges Niang,,F,8.5,provided_list,32.0,1697.0
1626204,Larry Nance Jr.,,F-C,8.2,provided_list,33.0,463.0
1629726,Garrison Mathews,,G,7.6,provided_list,29.0,830.0
1631230,Dominick Barlow,,F,0.8,provided_list,22.0,375.0
1630249,Vít Krejčí,,G,9.5,provided_list,25.0,1153.0
1631342,Daeqwon Plowden,,G-F,5.0,default_5.0,,
1628369,Jayson Tatum,,F-G,9.2,provided_list,27.0,2624.0
1641936,Miles Norris,,F,5.0,default_5.0,,
201950,Jrue Holiday,,G,9.3,provided_list,35.0,1896.0
1627759,Jaylen Brown,,G-F,3.5,provided_list,29.0,2158.0
204001,Kristaps Porziņģis,,F-C,9.3,provided_list,30.0,1210.0
1628401,Derrick White,,G,9.1,provided_list,31.0,2574.0
1630202,Payton Pritchard,,G,8.5,provided_list,28.0,2271.0
1628470,Torrey Craig,,F,5.1,provided_list,35.0,314.0
1641809,Drew Peterson,,F,8.3,provided_list,26.0,186.0
1631120,JD Davison,,G,5.0,default_5.0,,
1630214,Xavier Tillman,,F,0.1,provided_list,27.0,231.0
1641775,Jordan Walsh,,G,1.9,provided_list,21.0,403.0
1630573,Sam Hauser,,F,8.5,provided_list,28.0,1541.0
1628436,Luke Kornet,,C-F,9.1,provided_list,30.0,1361.0
201143,Al Horford,,C-F,9.2,provided_list,39.0,1659.0
1631248,Baylor Scheierman,,G,3.5,provided_list,25.0,384.0
1629674,Neemias Queta,,C,4.6,provided_list,26.0,863.0
1629622,Max Strus,,G-F,9.4,provided_list,29.0,1273.0
1629660,Ty Jerome,,G-F,6.1,provided_list,28.0,1392.0
1630596,Evan Mobley,,C,5.7,provided_list,24.0,2167.0
1630241,Sam Merrill,,G,8.3,provided_list,29.0,1401.0
1629750,Javonte Green,,G,1.5,provided_list,32.0,1258.0
1641854,Craig Porter Jr.,,G,2.5,provided_list,25.0,513.0
1629636,Darius Garland,,G,8.1,provided_list,26.0,2301.0
1629631,De'Andre Hunter,,F-G,6.2,provided_list,28.0,1740.0
202684,Tristan Thompson,,C-F,0.2,provided_list,34.0,328.0
1629643,Chuma Okeke,,F,9.2,provided_list,27.0,196.0
1641734,Emoni Bates,,F,5.0,default_5.0,,
1642281,Jaylon Tyson,,G-F,3.2,provided_list,23.0,453.0
1641772,Nae'Qwan Tomlin,,F,5.0,default_5.0,,
1628386,Jarrett Allen,,C,4.5,provided_list,27.0,2296.0
1629731,Dean Wade,,F-C,8.5,provided_list,29.0,1252.0
1631247,Luke Travers,,F,5.0,default_5.0,,
1630171,Isaac Okoro,,F-G,5.4,provided_list,25.0,1053.0
1628378,Donovan Mitchell,,G,7.2,provided_list,29.0,2232.0
1631232,Keion Brooks Jr.,,F,0.3,provided_list,25.0,332.0
1628971,Bruce Brown,,G-F,2.7,provided_list,29.0,922.0
1629627,Zion Williamson,,F,2.6,provided_list,25.0,857.0
1630529,Herbert Jones,,F,9.4,provided_list,27.0,648.0
203468,CJ McCollum,,G,5.0,provided_list,34.0,1832.0
203901,Elfrid Payton,,G,2.8,provided_list,31.0,511.0
1627749,Dejounte Murray,,G,2.1,provided_list,29.0,1012.0
1631288,Jamal Cain,,F,0.3,provided_list,26.0,502.0
1630527,Brandon Boston,,G,5.0,default_5.0,,
1641810,Antonio Reeves,,G,5.3,provided_list,25.0,660.0
203482,Kelly Olynyk,,F-C,9.4,provided_list,34.0,891.0
1630631,Jose Alvarado,,G,5.0,provided_list,27.0,1366.0
1631255,Karlo Matković,,F-C,4.0,provided_list,24.0,791.0
1642274,Yves Missi,,C,0.5,provided_list,21.0,1956.0
1631311,Lester Quinones,,G,1.6,provided_list,25.0,183.0
1641722,Jordan Hawkins,,G,2.2,provided_list,23.0,1321.0
1630530,Trey Murphy III,,F,8.1,provided_list,25.0,1854.0
1630526,Jeremiah Robinson-Earl,,F,3.1,provided_list,25.0,1239.0
1629632,Coby White,,G,5.7,provided_list,26.0,2450.0
