player_name,height_inches,weight_lbs,wingspan_in
Precious Achiuwa,80,243.0,84.75
Steven Adams,83,265.0,88.5
Bam Adebayo,81,255.0,86.75
Ochai Agbaji,77,215.0,82.25
Santi Aldama,84,215.0,83.0
Nickeil Alexander-Walker,77,205.0,81.5
Grayson Allen,75,198.0,79.25
Jarrett Allen,81,243.0,89.25
Jose Alvarado,72,179.0,73.0
Kyle Anderson,80,230.0,86.75
Giannis Antetokounmpo,83,243.0,87.0
Cole Anthony,74,185.0,76.5
OG Anunoby,79,240.0,86.25
Deni Avdija,81,228.0,80.5
Deandre Ayton,84,252.0,90.0
Marvin Bagley III,82,235.0,84.0
Patrick Baldwin Jr.,84,220.0,85.75
LaMelo Ball,79,180.0,80.0
Lonzo Ball,78,190.0,81.0
Mo Bamba,84,231.0,94.0
Paolo Banchero,82,250.0,84.5
Desmond Bane,77,215.0,76.25
Dalano Banton,80,203.0,82.25
Dominick Barlow,81,215.0,87.0
Harrison Barnes,79,225.0,83.25
Scottie Barnes,80,237.0,86.75
RJ Barrett,78,214.0,82.0
Charles Bassey,82,230.0,87.5
Emoni Bates,81,202.0,81.0
Nicolas Batum,79,230.0,85.0
Bradley Beal,76,207.0,80.0
Malik Beasley,76,187.0,79.0
MarJon Beauchamp,79,199.0,84.75
Goga Bitadze,82,250.0,86.0
Anthony Black,79,200.0,79.5
Bogdan Bogdanović,77,225.0,83.0
Bol Bol,87,220.0,91.0
Adem Bona,82,235.0,87.75
Devin Booker,77,206.0,80.25
Brandon Boston,78,188.0,82.75
Chris Boucher,81,200.0,88.0
Malaki Branham,76,180.0,82.0
Christian Braun,78,220.0,78.5
Mikal Bridges,78,209.0,85.0
Miles Bridges,79,225.0,81.5
Oshae Brissett,79,210.0,82.0
Malcolm Brogdon,77,229.0,82.5
Dillon Brooks,79,225.0,78.0
Bruce Brown,76,202.0,81.0
Jaylen Brown,78,223.0,83.75
Moses Brown,86,258.0,88.75
Jalen Brunson,74,190.0,76.0
Thomas Bryant,82,248.0,90.0
Kobe Bufkin,76,195.0,79.75
Alec Burks,77,214.0,82.0
Jimmy Butler III,79,230.0,79.5
Matas Buzelis,82,209.0,82.0
Kentavious Caldwell-Pope,77,204.0,80.0
Toumani Camara,79,230.0,84.5
Clint Capela,82,256.0,88.5
Bub Carrington,76,190.0,80.0
Devin Carter,74,195.0,80.75
Jevon Carter,73,200.0,76.25
Wendell Carter Jr.,82,270.0,88.5
Alex Caruso,77,186.0,78.0
Stephon Castle,78,215.0,81.0
