player_name,team,pos,mp,usg_pct,offensive_load,box_creation,creation_score
Nikola JokićDEN | C,,,2571.0,29.5,65.8,18.4,1.0
LaMelo BallCHA | PG,,,1505.0,35.9,66.1,14.2,0.9845394240428793
Cade CunninghamDET | SG,,,2452.0,33.2,64.6,15.2,0.965489935454099
Shai Gilgeous-AlexanderOKC | PG,,,2598.0,34.8,61.9,14.1,0.9433855379713761
Trae YoungATL | PG,,,2739.0,29.6,65.1,15.6,0.9348567602652532
Luka DončićLAL | SF,,,1769.0,33.9,61.7,14.1,0.9315063483757489
LeBron JamesLAL | PF,,,2444.0,30.1,58.8,14.0,0.8664449339495344
Ja MorantMEM | PG,,,1519.0,32.2,59.8,12.4,0.8620246217108765
James HardenLAC | SG,,,2789.0,29.6,58.0,13.3,0.8400912964606687
Jalen BrunsonNYK | PG,,,2301.0,29.5,57.1,12.7,0.8200655959355974
Stephen CurryGSW | PG,,,2252.0,29.8,54.8,12.3,0.8005564567504859
Giannis AntetokounmpoMIL | PF,,,2289.0,35.2,56.1,8.0,0.7772279797727888
Joel EmbiidPHI | C,,,574.0,34.2,52.9,9.3,0.7744326968871436
Darius GarlandCLE | PG,,,2301.0,27.2,54.2,12.3,0.7661016044633264
Jayson TatumBOS | SF,,,2624.0,31.2,53.3,10.2,0.7613506577174004
Paolo BancheroORL | PF,,,1582.0,33.6,52.5,8.8,0.7537947081227329
Donovan MitchellCLE | SG,,,2232.0,30.9,52.1,9.7,0.7393218540596648
Devin BookerPHX | SG,,,2795.0,29.3,52.7,10.3,0.7373892624422654
Zion WilliamsonNOP | PF,,,857.0,34.7,55.2,6.7,0.7369703226510673
Damian LillardPOR | PG,,,2093.0,27.8,51.4,11.0,0.7271237884063837
Cam ThomasBKN | SG,,,781.0,32.6,49.6,8.3,0.7129915896328909
Anthony EdwardsMIN | SG,,,2871.0,31.4,48.7,9.0,0.7087437472924237
Brandon IngramTOR | SF,,,595.0,30.2,49.1,9.4,0.7058783975478605
Tyrese MaxeyPHI | PG,,,1960.0,29.8,51.1,9.0,0.7046371764743397
Franz WagnerORL | SF,,,2023.0,31.0,50.0,7.9,0.6876798417777118
Tyrese HaliburtonIND | PG,,,2451.0,21.6,53.2,11.8,0.6826235674184119
Dejounte MurrayNOP | PG,,,1012.0,27.3,51.7,9.0,0.6787734872756424
RJ BarrettTOR | SF,,,1869.0,28.7,49.3,8.8,0.6760857420663497
Tyler HerroMIA | SG,,,2725.0,28.0,48.2,9.3,0.6720878580984414
Immanuel QuickleyTOR | PG,,,918.0,25.1,50.7,10.1,0.6709388754447493
Jordan PooleNOP | SG,,,2001.0,29.0,47.0,9.0,0.6698632519650318
De'Aaron FoxSAS | PG,,,2241.0,28.3,49.3,8.5,0.664711551525562
Jalen WilliamsOKC | SG,,,2237.0,27.5,47.3,8.5,0.6429024085465482
Kevin DurantHOU | PF,,,2265.0,28.7,44.0,8.5,0.6367217784241871
Collin SextonCHA | PG,,,1758.0,27.0,45.6,8.8,0.6331368512557844
Victor WembanyamaSAS | C,,,1527.0,30.4,44.2,7.2,0.6292749603360425
Jaylen BrownBOS | SF,,,2158.0,28.9,46.1,7.3,0.6254786947863387
Bones HylandMIN | PG,,,239.0,28.2,43.9,8.0,0.6191186178066839
Jordan ClarksonNYK | SG,,,962.0,27.8,45.2,7.5,0.6113413613757659
Anthony DavisDAL | C,,,1706.0,30.4,44.4,6.2,0.6083652862945091
Scottie BarnesTOR | SF,,,2134.0,27.0,47.0,7.2,0.6063489747191967
Ty JeromeMEM | PG,,,1392.0,23.6,44.8,9.6,0.6057010579844453
Kyrie IrvingDAL | PG,,,1804.0,27.4,44.2,7.7,0.6048656729141902
Jared ButlerPHX | SG,,,1044.0,23.6,47.3,8.8,0.6034197895992607
Russell Westbrook| PG,,,2092.0,23.8,45.8,8.3,0.5854524567929535
Miles BridgesCHA | SF,,,2029.0,28.0,44.2,6.4,0.583174232230973
CJ McCollumWAS | SG,,,1832.0,27.2,43.8,6.8,0.5801007840928076
Josh GiddeyCHI | SF,,,2117.0,21.7,45.7,9.2,0.5799280133754064
