PLAYER,TEAM,CutFreq%,CutPercentile
A.J. Lawson,TOR,9.9,40.4
Aaron Gordon,DEN,15.1,80.7
Aaron Nesmith,IND,3.6,87.2
Aaron Wiggins,OKC,6.3,96.1
Adem Bona,PHI,20.2,74.8
Ajay Mitchell,OKC,7.4,93.2
Al Horford,BOS,5.9,75.3
Alex Caruso,OKC,10.2,25.6
Alex Len,SAC,40.7,17.2
Alex Sarr,WAS,10.3,13.1
Alperen Sengun,HOU,9.4,21.1
Amen Thompson,HOU,17.5,63.5
Andre Drummond,PHI,17.2,13.9
Andre Jackson Jr.,MIL,17,2.7
Andrew Nembhard,IND,2.8,28.2
Andrew Wiggins,GSW,6.1,64.5
Anthony Black,ORL,3.9,21.4
Anthony Davis,LAL,10,46.3
Anthony Edwards,MIN,1.4,89.6
Antonio Reeves,NOP,6.5,65.5
Ausar Thompson,DET,17.5,51.9
Austin Reaves,LAL,1.7,52.2
Ayo Dosunmu,CHI,3.8,97.9
Bam Adebayo,MIA,13.2,44.8
Ben Sheppard,IND,7.2,83
Ben Simmons,BKN,16.3,10.4
Bennedict Mathurin,IND,6.3,56.1
Bilal Coulibaly,WAS,4.1,48.4
Blake Wesley,SAS,4.1,64.5
Bobby Portis,MIL,8.5,22
Bol Bol,PHX,11.2,97
Bradley Beal,PHX,5.4,69.4
Brandin Podziemski,GSW,5.1,25.6
Brandon Boston,NOP,3.6,89
Brandon Clarke,MEM,28.9,49.6
Brice Sensabaugh,UTA,2.4,11.6
Brook Lopez,MIL,12.9,89.3
Bruce Brown,TOR,14.1,32.4
Bub Carrington,WAS,3.4,6.6
Buddy Hield,GSW,3.3,35.6
CJ McCollum,NOP,1.5,68.8
Cade Cunningham,DET,1.1,55.2
Caleb Houstan,ORL,4.7,50.8
Caleb Martin,PHI,4.9,12.2
Cam Reddish,LAL,12.8,1.5
Cam Spencer,MEM,10.4,97.6
Cam Thomas,BKN,1.7,50.8
Cam Whitmore,HOU,4.8,32.4
Cameron Johnson,BKN,3.7,79.5
Caris LeVert,CLE,4.9,41.1
Cason Wallace,OKC,7.7,94.7
Charles Bassey,SAS,25.5,30.4
Chet Holmgren,OKC,9.4,31.2
Chris Boucher,TOR,11.9,57.6
Christian Braun,DEN,13.5,76
Clint Capela,ATL,26.1,27.3
Coby White,CHI,0.8,87.2
Cody Martin,CHA,5.1,73.4
Cody Williams,UTA,3.5,95.8
Cole Anthony,ORL,1.4,28.2
Collin Sexton,UTA,3.6,11.3
Corey Kispert,WAS,6.6,82.5
Craig Porter Jr.,CLE,6.3,99.1
D'Angelo Russell,LAL,2.6,28.2
DaQuan Jeffries,CHA,10,36
Dalano Banton,POR,1.6,50.8
Dalen Terry,CHI,5.7,37.8
Dalton Knecht,LAL,6.7,90.2
Damian Lillard,MIL,0.8,87.2
Daniel Gafford,DAL,24.9,81.3
Daniel Theis,NOP,18,17.5
Darius Garland,CLE,1.2,89
Day'Ron Sharpe,BKN,17.1,24.9
De'Aaron Fox,SAC,4.3,25.2
De'Andre Hunter,ATL,5.1,37.8
DeAndre Jordan,DEN,25.8,54
DeMar DeRozan,SAC,2.8,15.7
Dean Wade,CLE,4.9,80.1
Deandre Ayton,POR,20.7,20.8
Deni Avdija,POR,4.1,30
Dereck Lively II,DAL,34.1,63.8
Derrick Jones Jr.,LAC,14.1,72.4
Derrick White,BOS,2.2,9.5
Desmond Bane,MEM,4.5,59.9
Devin Booker,PHX,2.4,70.9
Devin Vassell,SAS,2.2,99.7
Dillon Brooks,HOU,2.9,94.4
Dillon Jones,OKC,12.6,18.5
Domantas Sabonis,SAC,15.6,58.2
Dominick Barlow,ATL,17.6,83
Donovan Clingan,POR,18.8,16.7
Donovan Mitchell,CLE,2,45.8
Donte DiVincenzo,MIN,1.5,44.5
Dorian Finney-Smith,LAL,4.6,28.2
Dorian Finney-Smith,BKN,5.9,6.6
Draymond Green,GSW,13.3,39.8
Drew Eubanks,UTA,33,45.4
Duncan Robinson,MIA,5.2,57.1
Duop Reath,POR,7.3,19.5
Dwight Powell,DAL,35.4,76.9
Dyson Daniels,ATL,10.9,46.9
Evan Mobley,CLE,16.6,93.5
Franz Wagner,ORL,7.2,73.9
GG Jackson,MEM,4.1,0
