PLAYER,TEAM,HandOffFreq%,HandOffPercentile
A.J. Lawson,TOR,5.6,35.8
AJ Green,MIL,16.5,93.2
Aaron Gordon,DEN,2.5,88.6
Aaron Holiday,HOU,3.7,86.8
Aaron Nesmith,IND,3.8,98.6
Aaron Wiggins,OKC,4.1,96.8
Ajay Mitchell,OKC,6.1,3.6
Alec Burks,MIA,7.8,81.1
Amen Thompson,HOU,3.5,50.5
Amir Coffey,LAC,5.2,22.3
Andrew Nembhard,IND,5.2,19.6
Andrew Wiggins,GSW,6.9,70
Andrew Wiggins,MIA,6.8,44.8
Anfernee Simons,POR,5.1,80.8
Anthony Black,ORL,5.4,65.8
Anthony Davis,LAL,1.5,75
Anthony Edwards,MIN,6.8,77.2
Antonio Reeves,NOP,10.2,15.9
Ausar Thompson,DET,3.3,12.8
Austin Reaves,LAL,7.4,42
Ayo Dosunmu,CHI,5.1,22.3
Baylor Scheierman,BOS,7.8,0
Ben Sheppard,IND,3.5,1.8
Bennedict Mathurin,IND,3.9,44.8
Bilal Coulibaly,WAS,5,14.2
Blake Wesley,SAS,6.3,62.7
Bogdan Bogdanović,LAC,8.7,87.2
Bogdan Bogdanović,ATL,8.4,46.3
Bones Hyland,LAC,6.7,15.9
Bradley Beal,PHX,6.3,96.1
Brandin Podziemski,GSW,7.9,19.2
Brandon Boston,NOP,4.7,13.9
Brandon Ingram,NOP,7.3,48.9
Brandon Miller,CHA,7.5,13.5
Brandon Williams,DAL,5.1,35.8
Brice Sensabaugh,UTA,7.9,53
Bub Carrington,WAS,11,44.1
Buddy Hield,GSW,8.3,38.8
CJ McCollum,NOP,9.4,40.9
Cade Cunningham,DET,10.4,70
Cam Thomas,BKN,18.7,62.7
Cam Whitmore,HOU,7.2,72.6
Cameron Johnson,BKN,15,59.1
Cameron Payne,NYK,5,2.5
Caris LeVert,CLE,4.7,52.1
Caris LeVert,ATL,5.1,2.8
Cason Wallace,OKC,5.7,74.2
Chris Boucher,TOR,3.2,47.7
Chris Paul,SAS,4,97.9
Christian Braun,DEN,4.5,54.1
Coby White,CHI,3.6,65.1
Cody Martin,CHA,3.3,31.2
Cody Williams,UTA,4.7,9.6
Colby Jones,WAS,8.1,44.8
Cole Anthony,ORL,4.9,67.6
Collin Sexton,UTA,8.5,94
Corey Kispert,WAS,9.2,83.3
Craig Porter Jr.,CLE,6.8,10
D'Angelo Russell,BKN,12.5,24.9
D'Angelo Russell,LAL,5.7,88.2
DaQuan Jeffries,CHA,7.4,2.1
Dalano Banton,POR,5,68.3
Dalen Terry,CHI,2.8,15.9
Dalton Knecht,LAL,6.8,38.1
Damian Lillard,MIL,10,86.1
Damion Baugh,CHA,7.8,26.7
Dariq Whitehead,BKN,9.7,5
Darius Garland,CLE,7.5,84.3
Davion Mitchell,TOR,5.1,50.9
De'Aaron Fox,SAC,9.8,64.4
De'Aaron Fox,SAS,9.7,57.1
De'Andre Hunter,ATL,11.1,94.7
De'Andre Hunter,CLE,5.1,17.4
DeMar DeRozan,SAC,9.2,85.4
Dejounte Murray,NOP,4.3,91.5
Deni Avdija,POR,5.2,53.4
Dennis Schröder,BKN,8,36.7
Dennis Schröder,DET,10.3,32
Dennis Schröder,GSW,6.9,31.2
Derrick White,BOS,4.7,76.8
Desmond Bane,MEM,4.2,29.2
Devin Booker,PHX,3.9,32.5
Devin Vassell,SAS,9.4,41.6
Dillon Brooks,HOU,5.5,69.4
Donovan Mitchell,CLE,5.2,66.2
Donte DiVincenzo,MIN,8.1,21
Duncan Robinson,MIA,18.6,59.4
Dyson Daniels,ATL,4.7,47
Eric Gordon,PHI,3.9,15.9
Evan Mobley,CLE,0.9,11.7
Franz Wagner,ORL,5.2,59.8
Fred VanVleet,HOU,6.8,41.3
Gabe Vincent,LAL,5.1,22.3
Garrison Mathews,ATL,9.1,43.4
Gary Harris,ORL,7.8,0.7
Gary Trent Jr.,MIL,8.3,84.7
Georges Niang,CLE,3,86.8
Giannis Antetokounmpo,MIL,1,72.2
Gradey Dick,TOR,9.4,17.8
Grayson Allen,PHX,5.7,29.7
Harrison Barnes,SAS,2.3,52.7
Immanuel Quickley,TOR,11.3,62.7
Isaiah Collier,UTA,5.1,3.6
Isaiah Joe,OKC,16.2,57.7
Isaiah Wong,CHA,8.6,62.7
Ja Morant,MEM,1.6,6.4
Ja'Kobe Walter,TOR,6.7,82.5
Jabari Smith Jr.,HOU,5,7.1
Jaden Hardy,DAL,4.9,55.2
Jaden Ivey,DET,7.9,76.8
Jaden McDaniels,MIN,2.8,27.1
Jaime Jaquez Jr.,MIA,2.9,92.2
Jake LaRavia,SAC,9,88.2
Jalen Brunson,NYK,6,48.9
Jalen Green,HOU,7.1,40.2
Jalen Johnson,ATL,4.6,49.8
Jalen Suggs,ORL,8.1,28.1
Jalen Williams,OKC,6,64.8
Jalen Wilson,BKN,6.2,11
Jamal Murray,DEN,13.8,60.1
Jamal Shead,TOR,7.1,8.5
James Harden,LAC,5.2,65.5
Jamison Battle,TOR,6.6,98.2
Jarace Walker,IND,4.9,82.9
Jared Butler,PHI,3.2,88.2
Jared McCain,PHI,4.8,74.2
Jared Rhoden,TOR,11.1,5
Jaren Jackson Jr.,MEM,1.6,29.7
Jaylen Brown,BOS,4.8,57.1
Jayson Tatum,BOS,1.8,91.1
Jeff Dowtin Jr.,PHI,4.9,14.9
