PLAYER,TEAM,IsoFreq%,IsoPercentile
,,,
AJ Johnson,WAS,9.5,21.9
Aaron Gordon,DEN,8.5,47.5
Aaron Holiday,HOU,3.7,22.9
Aaron Wiggins,OKC,4.2,84.2
Alec Burks,MIA,3.1,52.5
Alex Sarr,WAS,4.1,11.1
Alperen Sengun,HOU,14.1,42.1
Amen Thompson,HOU,7.9,41.8
Amir Coffey,LAC,1.6,96.8
Andrew Nembhard,IND,6.2,67.1
Andrew Wiggins,GSW,6.4,67.7
Andrew Wiggins,MIA,8.3,13.5
Anfernee Simons,POR,15.3,56.1
Anthony Black,ORL,4.1,84.2
Anthony Davis,LAL,10.6,81.8
Anthony Davis,DAL,13.9,12.1
Anthony Edwards,MIN,19.6,55.4
Antonio Reeves,NOP,5.1,4.3
Ausar Thompson,DET,4.5,40.9
Austin Reaves,LAL,8.8,79.3
Bam Adebayo,MIA,11.8,54.3
Ben Simmons,BKN,9.6,20.4
Bennedict Mathurin,IND,10.5,26.9
Bilal Coulibaly,WAS,4.8,82.8
Blake Wesley,SAS,7.1,4.6
Bobby Portis,MIL,6,71.7
Bogdan Bogdanović,LAC,4.7,76.7
Bones Hyland,LAC,18.8,76.7
Bradley Beal,PHX,6.7,62.5
Brandin Podziemski,GSW,4.8,43.6
Brandon Boston,NOP,7.9,8.9
Brandon Ingram,NOP,15.3,48.6
Brandon Miller,CHA,6.1,76.7
Brandon Williams,DAL,11.8,94.3
Brice Sensabaugh,UTA,5.6,71.7
Brook Lopez,MIL,2.2,31.6
Bruce Brown,NOP,5.6,76.7
Bub Carrington,WAS,5.1,15.7
Buddy Hield,GSW,2.3,6.1
CJ McCollum,NOP,6.6,63.2
Cade Cunningham,DET,11.1,49.6
Caleb Martin,PHI,9.7,31.6
Caleb Martin,DAL,11.2,76.7
Cam Thomas,BKN,11.9,91.8
Cam Whitmore,HOU,7.6,15.4
Cameron Johnson,BKN,4.9,88.2
Cameron Payne,NYK,4.2,45.4
Caris LeVert,ATL,7.3,69.3
Caris LeVert,CLE,9.6,3.6
Cason Wallace,OKC,4.8,13.5
Chet Holmgren,OKC,5.5,58.6
Chris Paul,SAS,12.5,43.2
Christian Braun,DEN,1.8,98.9
Coby White,CHI,6.8,54.6
Cody Martin,CHA,6,22.9
Cody Williams,UTA,3.8,13.5
Cole Anthony,ORL,7.9,61.1
Collin Gillespie,PHX,7,59.6
Collin Sexton,UTA,12.2,45
Craig Porter Jr.,CLE,6.3,13.5
D'Angelo Russell,BKN,6.8,86.8
D'Angelo Russell,LAL,4.4,99.3
Dalano Banton,POR,8.4,55
Dalen Terry,CHI,2.8,52.5
Dalton Knecht,LAL,4.1,33.9
Damian Lillard,MIL,15.4,72.5
Darius Garland,CLE,7.8,39.6
Davion Mitchell,MIA,16.8,44.6
Davion Mitchell,TOR,9.2,53.9
De'Aaron Fox,SAC,12,40.9
De'Aaron Fox,SAS,17.9,93.6
De'Andre Hunter,CLE,9.1,79.6
De'Andre Hunter,ATL,6.3,26.9
DeMar DeRozan,SAC,16.2,64.6
Deandre Ayton,POR,2.1,37.8
Dejounte Murray,NOP,12.9,13.5
Deni Avdija,POR,5.8,91.1
Dennis Schröder,BKN,18.1,68.8
Dennis Schröder,DET,14.2,90.7
Dennis Schröder,GSW,6.6,25
Derrick White,BOS,4.1,63.8
Desmond Bane,MEM,10.9,55.7
Devin Booker,PHX,9,87.5
Devin Carter,SAC,7.8,40.1
Devin Vassell,SAS,7.6,90.4
Dillon Brooks,HOU,4.7,51.4
Dillon Jones,OKC,6.3,7.2
Domantas Sabonis,SAC,2.1,80.7
Donovan Mitchell,CLE,10.3,61.4
Donte DiVincenzo,MIN,3.3,48
Duncan Robinson,MIA,1.7,2.5
Dyson Daniels,ATL,3.7,42.7
Elfrid Payton,NOP,6.5,10.4
Eric Gordon,PHI,4.3,76.7
Evan Mobley,CLE,5,37.1
Franz Wagner,ORL,12.6,17.9
Fred VanVleet,HOU,6.4,66.1
GG Jackson,MEM,6.1,31.6
Gabe Vincent,LAL,5.1,57.1
Gary Trent Jr.,MIL,1.9,62
Giannis Antetokounmpo,MIL,17.9,65
Grayson Allen,PHX,2.3,1.8
Harrison Barnes,SAS,5,82.1
Immanuel Quickley,TOR,7.3,48
Isaiah Collier,UTA,12.2,26.4
Isaiah Hartenstein,OKC,1.6,52.5
Isaiah Wong,CHA,10.8,6.8
Ja Morant,MEM,17.8,68.2
Jabari Smith Jr.,HOU,2.5,10
Jaden Hardy,DAL,9,34.6
Jaden Ivey,DET,7.7,11.8
Jaden McDaniels,MIN,1.8,18.9
Jae'Sean Tate,HOU,6.8,10.7
Jaime Jaquez Jr.,MIA,9,95
Jakob Poeltl,TOR,1.6,37.8
Jalen Brunson,NYK,17.3,87.1
Jalen Duren,DET,6.2,78.9
Jalen Green,HOU,11.4,42.7
Jalen Johnson,ATL,2.7,6.4
Jalen Suggs,ORL,7.6,63.8
Jalen Williams,OKC,9.1,69.6
Jalen Wilson,BKN,4.8,24.6
Jamal Murray,DEN,9.8,60.7
Jamal Shead,TOR,5,70.4
James Harden,LAC,36.1,85
Jarace Walker,IND,4.3,76.7
Jared Butler,PHI,15.5,35.4
Jared Butler,WAS,9.2,66.7
Jared McCain,PHI,6.5,95.7
Jaren Jackson Jr.,MEM,13.3,53.4
Jaylen Brown,BOS,15.4,57.5
Jaylen Wells,MEM,6.1,57.9
Jayson Tatum,BOS,25.9,78.6
Jeff Dowtin Jr.,PHI,19.2,64.3
Jerami Grant,POR,6.9,8.2
Jeremy Sochan,SAS,2.5,20.7
Jett Howard,ORL,4.2,25.8
Jimmy Butler III,GSW,15.4,86.4
Jimmy Butler III,MIA,12.4,76.7
Joel Embiid,PHI,14,36.4
John Collins,UTA,4.5,88.6
Johnny Juzang,UTA,5.4,16.8
Jonas Valančiūnas,WAS,3.6,22.9
Jonathan Kuminga,GSW,7.5,12.9
Jonathan Mogbo,TOR,3.5,76.7
Jordan Clarkson,UTA,15.5,45.7
Jordan Hawkins,NOP,2.9,2.1
Jordan Miller,LAC,6.8,22.9
Jordan Poole,WAS,5.6,46.1
Jose Alvarado,NOP,5.8,97.5
Josh Giddey,CHI,3.7,53.4
Josh Hart,NYK,3.9,66.7
Jrue Holiday,BOS,6,48.9
Julian Champagnie,SAS,1.9,31.6
Julian Strawther,DEN,2.2,3.9
Julius Randle,MIN,13.4,28.9
Justin Edwards,PHI,6.5,1.1
KJ Simpson,CHA,6.3,22.9
Karl-Anthony Towns,NYK,10.8,41.4
Kawhi Leonard,LAC,16.4,29.6
Keaton Wallace,ATL,9.5,30.5
Keegan Murray,SAC,1.3,98.2
Keldon Johnson,SAS,6,80.4
Kelly Olynyk,NOP,5,95.7
Kelly Oubre Jr.,PHI,6.4,30.5
Kenrich Williams,OKC,3.2,40.1
Kentavious Caldwell-Pope,ORL,1.9,76.7
Keon Ellis,SAC,1.9,19.4
Keon Johnson,BKN,7.8,18.6
Kevin Durant,PHX,18.9,93.2
Kevin Porter Jr.,LAC,18.6,29.3
Kevin Porter Jr.,MIL,11,65.4
Keyonte George,UTA,11.8,33.6
Khris Middleton,MIL,6.4,36.1
Khris Middleton,WAS,6.3,18.2
Klay Thompson,DAL,4.2,5
Kris Dunn,LAC,2.3,94.3
Kristaps Porziņģis,BOS,2.6,21.1
Kyle Anderson,MIA,14.7,81.1
Kyle Anderson,GSW,7.5,92.5
Kyle Filipowski,UTA,4.8,49.3
Kyle Kuzma,MIL,4.9,87.9
Kyle Kuzma,WAS,6.1,16.1
Kyrie Irving,DAL,22.4,85.7
Kyshawn George,WAS,2.5,12.5
LaMelo Ball,CHA,10.6,50.4
Lauri Markkanen,UTA,4.6,59.6
LeBron James,LAL,16.6,60.4
Lonnie Walker IV,PHI,8.4,99.6
Luka Dončić,LAL,22.6,86.1
Luka Dončić,DAL,14.8,83.6
Luke Kennard,MEM,2.1,7.2
Malcolm Brogdon,WAS,4.4,62
Malik Beasley,DET,2.5,31.6
Malik Monk,SAC,7.9,56.4
Marcus Sasser,DET,8.3,91.4
Marcus Smart,WAS,11.2,98.6
Marcus Smart,MEM,9.5,65.7
Matas Buzelis,CHI,4.3,16.8
Max Christie,DAL,9.2,50
Michael Porter Jr.,DEN,1.5,38.8
Mikal Bridges,NYK,1.7,21.9
Mike Conley,MIN,2.8,22.9
Miles Bridges,CHA,11.5,56.8
Miles McBride,NYK,8.2,11.4
Moritz Wagner,ORL,5.2,27.5
Moses Moody,GSW,3.4,8.6
Myles Turner,IND,1.1,19.4
Naji Marshall,DAL,5.1,67.7
Naz Reid,MIN,2.4,59.6
Nic Claxton,BKN,4.8,9.3
Nick Smith Jr.,CHA,6.4,96.1
Nikola Jokić,DEN,4.9,72.1
Nikola Jović,MIA,4.6,76.7
Nikola Vučević,CHI,1.4,94.6
Norman Powell,LAC,6.4,35
OG Anunoby,NYK,3.9,37.8
Olivier-Maxence Prosper,DAL,5.4,9.6
P.J. Washington,DAL,6.9,31.6
Paolo Banchero,ORL,18.9,70.7
Pascal Siakam,IND,9.2,83.2
Patrick Williams,CHI,3.6,1.4
Paul George,PHI,20.1,80
Payton Pritchard,BOS,7.6,68.8
Peyton Watson,DEN,2.2,76.7
Precious Achiuwa,NYK,5.7,28.3
Quentin Grimes,PHI,11.2,84.6
Quentin Grimes,DAL,6.3,70
RJ Barrett,TOR,4.5,44.1
Reed Sheppard,HOU,4.6,59.6
Reggie Jackson,PHI,9.2,0.7
Ricky Council IV,PHI,5.7,30
Rob Dillingham,MIN,10.7,76.7
Ronald Holland II,DET,2.4,25.8
Rui Hachimura,LAL,3,82.8
Russell Westbrook,DEN,10,51.8
Ryan Rollins,MIL,6.4,81.4
Santi Aldama,MEM,2.4,90
Scoot Henderson,POR,12.6,16.4
Scottie Barnes,TOR,10.5,44.1
Scotty Pippen Jr.,MEM,4,27.9
Seth Curry,CHA,4.1,85.4
Shaedon Sharpe,POR,11.7,71.1
Shai Gilgeous-Alexander,OKC,25.1,89.3
Shake Milton,LAL,8.6,3.2
Spencer Dinwiddie,DAL,22.8,78.2
