PLAYER,TEAM,PRHandlerFreq%,PRHandlerPercentile
A.J. Lawson,TOR,6.5,70.2
AJ Green,MIL,5.9,3.9
AJ Johnson,WAS,25.7,40.9
Aaron Gordon,DEN,8.3,85.2
Aaron Holiday,HOU,22.4,89
Aaron Nesmith,IND,7.1,9.6
Aaron Wiggins,OKC,10.5,34.4
Ajay Mitchell,OKC,27.5,82.6
Alec Burks,MIA,12.5,76.3
Alex Caruso,OKC,5.9,22.3
Alex Sarr,WAS,2.6,59.3
Alperen Sengun,HOU,3.5,95.3
Amen Thompson,HOU,15.8,46
Amir Coffey,LAC,5.7,42.4
Andrew Nembhard,IND,28.3,74.2
Andrew Wiggins,GSW,23.5,50.7
Andrew Wiggins,MIA,26.9,63.2
Anfernee Simons,POR,36.9,78.9
Anthony Black,ORL,31.1,15.4
Anthony Davis,LAL,8.2,94
Anthony Davis,DAL,9.8,24.9
Anthony Edwards,MIN,33.3,86.4
Antonio Reeves,NOP,10.9,47.5
Ausar Thompson,DET,6.1,37.7
Austin Reaves,LAL,30.1,83.4
Ayo Dosunmu,CHI,19.1,91.1
Bam Adebayo,MIA,2.7,93.2
Baylor Scheierman,BOS,9.4,93.5
Ben Sheppard,IND,3.8,44
Ben Simmons,BKN,14.4,11.3
Bennedict Mathurin,IND,23,58.5
Bilal Coulibaly,WAS,25.7,16.6
Blake Wesley,SAS,21.2,4.5
Bogdan Bogdanović,LAC,26.5,76
Bogdan Bogdanović,ATL,8.8,66.6
Bones Hyland,LAC,30.9,86.1
Bradley Beal,PHX,25.1,48.4
Brandin Podziemski,GSW,19.8,52.5
Brandon Boston,NOP,22.3,25.5
Brandon Ingram,NOP,24.7,20.2
Brandon Miller,CHA,27.6,24.3
Brandon Williams,DAL,24.3,49.6
Brice Sensabaugh,UTA,14.7,59.3
Bruce Brown,NOP,21.1,3.6
Bruce Brown,TOR,14.7,18.8
Bub Carrington,WAS,29.5,49
Buddy Hield,GSW,6,59.3
CJ McCollum,NOP,26.6,68
Cade Cunningham,DET,40.7,68.2
Caleb Martin,PHI,16.5,51.9
Caleb Martin,DAL,12.2,26.9
Cam Thomas,BKN,30.4,87.5
Cam Whitmore,HOU,13.8,21.7
Cameron Johnson,BKN,14.5,64.9
Cameron Payne,NYK,38.4,78
Caris LeVert,CLE,21.7,66.6
Caris LeVert,ATL,14.4,97.3
Cason Wallace,OKC,14.8,47.2
Chet Holmgren,OKC,2.6,44
Chris Paul,SAS,38.9,71.5
Christian Braun,DEN,6.8,84.9
Coby White,CHI,28.6,64.4
Cody Martin,CHA,16.5,25.8
Cody Williams,UTA,9.1,9.2
Colby Jones,WAS,15.6,20.2
Cole Anthony,ORL,32.6,24.6
Collin Gillespie,PHX,22.2,99.1
Collin Sexton,UTA,27.4,69.7
Corey Kispert,WAS,8.6,7.4
Cory Joseph,ORL,19,33.8
Craig Porter Jr.,CLE,33.3,67.7
D'Angelo Russell,BKN,40.1,57.1
D'Angelo Russell,LAL,32.6,75.1
DaQuan Jeffries,CHA,10,64.9
Dalano Banton,POR,26.5,15.1
Dalen Terry,CHI,10.8,60.8
Dalton Knecht,LAL,8.4,33.5
Damian Lillard,MIL,39.8,92.9
Damion Baugh,CHA,25.7,2.4
Danté Exum,DAL,29.8,61.4
Darius Garland,CLE,42.7,86.6
Davion Mitchell,TOR,30.1,25.2
Davion Mitchell,MIA,25.7,61.1
De'Aaron Fox,SAC,28.3,92.6
De'Aaron Fox,SAS,23.3,13.4
De'Andre Hunter,ATL,8.9,77.4
De'Andre Hunter,CLE,7.3,99.4
DeMar DeRozan,SAC,24.5,91.7
Dejounte Murray,NOP,43.1,31.5
Delon Wright,MIL,35.8,2.7
Delon Wright,NYK,16.1,35.3
Deni Avdija,POR,21.7,72.7
Dennis Schröder,BKN,35.9,72.4
Dennis Schröder,DET,40.2,38
Dennis Schröder,GSW,39.4,28.7
Derrick Jones Jr.,LAC,2,20.2
Derrick White,BOS,22.9,76.6
Desmond Bane,MEM,22.7,70.2
Devin Booker,PHX,30.1,70.6
Devin Carter,SAC,19.9,4.7
Devin Vassell,SAS,19.3,65.6
Dillon Brooks,HOU,5.4,22.3
Dillon Jones,OKC,9.1,6.8
Domantas Sabonis,SAC,1.1,20.2
Donovan Mitchell,CLE,41.7,83.7
Donte DiVincenzo,MIN,17.9,48.1
Draymond Green,GSW,4.9,28.2
Dru Smith,MIA,19,71.2
Duncan Robinson,MIA,16.5,53.4
Dyson Daniels,ATL,15.3,56.7
