,Year,Player,HEIGHT,WEIGHT,POSITION,bSPARQ,NBA %
1,2025,Ace Bailey,6' 7.50'',202.8,COMBO F,77.73,9.40%
2,2025,Alex Condon,6' 11.25'',221.8,COMBO F,88.55,56.80%
3,2025,Alex Toohey,6' 7.75'',222.8,WING,81.15,36.70%
4,2025,Alijah Martin,6' 1.50'',208.4,WING,83.65,49.70%
5,2025,Asa Newell,6' 9.00'',223.8,COMBO F,88.22,55.00%
6,2025,Ben Henshall,6' 5.50'',193.4,WING,79.94,30.90%
7,2025,Bogoljub Markovic,6' 10.50'',213.2,BIG,73.22,1.70%
8,2025,Brice Williams,6' 5.25'',205.8,WING,78.6,24.90%
9,2025,Carter Bryant,6' 6.50'',214.8,COMBO F,87.71,52.20%
10,2025,Cedric Coward,6' 5.25'',213,COMBO G,91.37,93.20%
11,2025,Chaz Lanier,6' 3.75'',205.8,COMBO G,89.99,90.50%
12,2025,Collin Murray-Boyles,6' 6.50'',239.2,COMBO F,92.87,77.80%
13,2025,Cooper Flagg,6' 7.75'',221,COMBO F,86.26,44.20%
14,2025,Danny Wolf,6' 10.50'',251.8,COMBO F,82.8,26.70%
15,2025,Darrion Williams,6' 4.50'',236,WING,78.95,26.40%
16,2025,Derik Queen,6' 9.25'',247.8,BIG,80.57,12.30%
17,2025,Dink Pate,6' 6.25'',200.8,WING,71.2,4.80%
18,2025,Drake Powell,6' 5.25'',200.4,COMBO F,97.08,91.10%
19,2025,Dylan Harper,6' 4.50'',213.2,COMBO G,87.16,82.80%
20,2025,Egor Demin,6' 8.25'',199.2,COMBO G,74.73,25.80%
21,2025,Eric Dixon,6' 7.50'',258.6,BIG,94.88,75.80%
22,2025,Grant Nelson,6' 10.00'',229.8,BIG,84.21,24.50%
23,2025,Hansen Yang,7' 1.00'',252.6,BIG,88.02,42.30%
24,2025,Hunter Sallis,6' 3.75'',181.4,WING,78.03,22.60%
25,2025,Izan Almansa,6' 9.25'',220.4,BIG,83.85,23.10%
26,2025,Jalon Moore,6' 6.25'',203.4,WING,88.08,72.00%
27,2025,Jamir Watkins,6' 5.00'',214.6,WING,89.68,78.60%
28,2025,Jase Richardson,6' 0.50'',178.4,COMBO G,76.31,32.80%
29,2025,Javon Small,6' 1.00'',190,PG,84.71,89.90%
30,2025,Jeremiah Fears,6' 2.50'',179.6,COMBO G,80.24,52.30%
31,2025,Joan Beringer,6' 11.00'',234.8,BIG,89.13,48.00%
32,2025,John Tonje,6' 4.75'',211.8,WING,85.7,60.50%
33,2025,Johni Broome,6' 9.25'',249.4,COMBO F,83.41,29.60%
34,2025,Kam Jones,6' 3.25'',202.4,PG,71.64,21.20%
35,2025,Karter Knox,6' 5.00'',214.2,WING,90.72,82.40%
36,2025,Kasparas Jakucionis,6' 4.75'',205.2,COMBO G,80.53,53.90%
37,2025,Khaman Maluach,7' 0.75'',252.8,BIG,83.01,19.90%
38,2025,Kobe Sanders,6' 7.00'',203.2,WING,82.92,45.90%
39,2025,Koby Brea,6' 5.75'',201.8,WING,77.51,20.60%
40,2025,Kon Knueppel,6' 5.00'',219,COMBO G,91.18,92.80%
41,2025,Labaron Philon,6' 2.75'',174.6,COMBO G,71.58,14.60%
42,2025,Lachlan Olbrich,6' 8.75'',230.2,BIG,76.34,4.30%
43,2025,Liam McNeeley,6' 6.75'',214.6,COMBO F,87.51,51.10%
44,2025,Mackenzie Mgbako,6' 7.50'',216.4,COMBO F,81.61,21.70%
45,2025,Mark Sears,5' 10.75'',183.4,PG,78.78,63.00%
46,2025,Max Shulga,6' 4.25'',206.4,WING,82.97,46.10%
47,2025,Maxime Raynaud,7' 0.25'',236.8,BIG,88.51,44.80%
48,2025,Micah Peavy,6' 6.25'',211.6,WING,86.6,65.00%
49,2025,Michael Ruzic,6' 11.00'',221.4,BIG,87.31,38.70%
50,2025,Miles Byrd,6' 4.75'',181.8,WING,79.07,26.90%
51,2025,Milos Uzan,6' 3.25'',186.4,PG,71.3,19.70%
52,2025,Neoklis Avdalas,6' 7.50'',197.8,WING,75.34,13.30%
53,2025,Nique Clifford,6' 5.25'',202,COMBO G,84.62,73.30%
54,2025,Noah Penda,6' 7.25'',241.8,BIG,82.76,19.00%
55,2025,Nolan Traoré,6' 3.00'',175,PG,70.82,17.70%
56,2025,Otega Oweh,6' 4.25'',212.6,WING,80.6,34.00%
57,2025,PJ Haggerty,6' 2.25'',189.4,WING,73.99,9.90%
58,2025,Rasheer Fleming,6' 8.25'',232.4,COMBO F,84.92,37.10%
59,2025,RJ Luis Jr.,6' 5.75'',210,WING,88.28,72.80%
60,2025,Rocco Zikarsky,7' 3.00'',257,BIG,93.02,67.60%
61,2025,Ryan Kalkbrenner,7' 1.00'',257.4,BIG,97.01,83.50%
62,2025,Ryan Nembhard,5' 11.00'',175.8,PG,68.45,9.60%
63,2025,Sion James,6' 4.50'',217.6,WING,91.83,86.00%
64,2025,Tahaad Pettiford,6' 0.25'',168.8,PG,74.19,34.60%
65,2025,Tamar Bates,6' 3.75'',191.4,WING,74.58,11.30%
66,2025,Tre Johnson,6' 4.75'',190.4,COMBO G,82.77,65.00%
67,2025,Tyrese Proctor,6' 4.25'',183.2,COMBO G,77.74,39.70%
68,2025,VJ Edgecombe,6' 4.00'',193.2,COMBO G,79.92,50.70%
69,2025,Vladislav Goldin,7' 0.00'',253.4,BIG,89.48,49.80%
70,2025,Walter Clayton Jr.,6' 2.00'',199,COMBO G,80.78,55.10%
71,2025,Will Riley,6' 8.25'',185.6,COMBO F,72.85,2.30%
72,2025,Yanic Konan Niederhauser,6' 11.25'',242.6,BIG,103.55,96.60%
73,2025,Yaxel Lendeborg,6' 8.50'',234.6,BIG,82.06,16.60%
74,2024,Adem Bona,6' 8.25'',243.2,BIG,107.43,99.00%
75,2024,AJ Johnson,6' 4.25'',167,WING,70.22,3.70%
76,2024,Ajay Mitchell,6' 3.25'',197,PG,77.21,53.40%
77,2024,Alex Karaban,6' 6.50'',219.2,BIG,71.5,1.00%
78,2024,Alexandre Sarr,6' 11.75'',224.2,BIG,90.46,54.90%
79,2024,Antonio Reeves,6' 4.50'',186.6,WING,75.99,15.30%
80,2024,Baylor Scheierman,6' 6.25'',201.6,WING,77.36,20.00%
81,2024,Bobi Klintman,6' 8.75'',212.2,BIG,78.25,7.20%
82,2024,Boogie Ellis,6' 0.75'',185,COMBO G,80.24,52.40%
83,2024,Bronny James,6' 1.50'',210.4,WING,89.5,77.90%
84,2024,Cam Christie,6' 4.50'',190.4,WING,83.77,50.40%
85,2024,Cam Spencer,6' 3.00'',201.8,WING,68.48,2.20%
86,2024,Carlton Carrington,6' 3.75'',194.8,PG,77.51,55.20%
87,2024,Cody Williams,6' 6.50'',178.4,WING,77.03,18.80%
88,2024,Coleman Hawkins,6' 8.25'',215.2,BIG,73.73,2.00%
89,2024,Dalton Knecht,6' 5.25'',212.2,WING,87.92,71.20%
90,2024,DaRon Holmes II,6' 8.75'',236.2,BIG,87.2,38.20%
91,2024,David Jones,6' 3.50'',211.2,WING,81.23,37.20%
92,2024,Devin Carter,6' 2.25'',193,WING,89.51,78.00%
93,2024,Dillon Jones,6' 4.50'',236.8,WING,85.03,57.00%
94,2024,Donovan Clingan,7' 1.75'',282,BIG,94.5,74.20%
95,2024,Enrique Freeman,6' 7.25'',212,BIG,86.65,35.50%
96,2024,Harrison Ingram,6' 5.25'',233.6,WING,90,79.90%
97,2024,Hunter Sallis,6' 3.50'',179.4,WING,74.73,11.70%
98,2024,Isaac Jones,6' 7.75'',235,BIG,90.38,54.50%
99,2024,Isaiah Collier,6' 2.50'',204.6,PG,83.41,85.70%
100,2024,Izan Almansa,6' 9.25'',219.6,BIG,83.64,22.30%
101,2024,Ja'Kobe Walter,6' 4.25'',197.6,WING,82.23,42.20%
102,2024,Jalen Bridges,6' 6.75'',213.4,WING,75.49,13.80%
103,2024,Jamal Shead,6' 0.25'',200.8,PG,82.34,81.50%
104,2024,Jamir Watkins,6' 5.00'',211.6,WING,86.63,65.10%
