#,Name,AGE,MP,passerRating
1,Ben Simmons| PF,29,1120,10
2,Chris PaulLAC | PG,40,2292,10
3,Elfrid Payton| PG,31,511,10
4,Tyrese HaliburtonIND | PG,25,2451,9.9
5,Tyler KolekNYK | PG,24,296,9.8
6,Tre JonesCHI | PG,26,905,9.7
7,Nikola JokićDEN | C,30,2571,9.5
8,Tyus JonesORL | PG,29,2174,9.1
9,Trae YoungATL | PG,27,2739,9.1
10,Kyle LowryPHI | PG,39,659,9.1
11,Killian Hayes| PG,24,162,9
12,Mike ConleyMIN | PG,38,1756,9
13,Josh GiddeyCHI | SF,23,2117,8.7
14,Isaiah CollierUTA | PG,21,1839,8.6
15,Jalen PickettDEN | PG,26,666,8.6
16,T.J. McConnellIND | PG,33,1415,8.6
17,Davion MitchellMIA | PG,27,2027,8.6
18,Jamal SheadTOR | PG,23,1467,8.5
19,Draymond GreenGSW | PF,35,1983,8.4
20,LeBron JamesLAL | PF,41,2444,8.4
21,Jared ButlerPHX | SG,25,1044,8.4
22,Jordan McLaughlinSAS | PG,29,314,8.4
23,Dwight PowellDAL | C,34,551,8.3
24,Cade CunninghamDET | SG,24,2452,8.3
25,Jaylin WilliamsOKC | C,23,784,8.2
26,James HardenLAC | SG,36,2789,8.2
27,Collin GillespiePHX | PG,26,461,8.2
28,Scotty Pippen Jr.MEM | PG,25,1683,8.1
29,Kyle AndersonUTA | PF,32,1002,8
30,Jimmy Butler IIIGSW | SF,36,1746,8
31,Andrew NembhardIND | PG,26,1881,8
32,Josh HartNYK | SF,30,2897,8
33,Pat Spencer| SG,29,250,7.9
34,Cameron Payne| PG,31,1090,7.9
35,Delon Wright| PG,33,635,7.8
36,Reece Beekman| PG,24,469,7.8
37,Garrett TempleTOR | SF,39,227,7.7
38,Khris MiddletonWAS | SF,34,843,7.7
39,Jose AlvaradoNOP | PG,27,1366,7.7
40,Luke KennardATL | SG,29,1472,7.7
41,D'Angelo RussellDAL | PG,29,1480,7.6
42,Immanuel QuickleyTOR | PG,26,918,7.6
43,Dennis SchröderSAC | PG,32,2105,7.6
44,Vít KrejčíATL | SF,25,1153,7.6
45,Darius GarlandCLE | PG,26,2301,7.6
46,Luka DončićLAL | SF,26,1769,7.6
47,Spencer DinwiddieCHA | PG,32,2136,7.6
48,Cam SpencerMEM | SG,25,252,7.5
49,Ayo DosunmuCHI | SG,26,1394,7.5
50,Russell Westbrook| PG,37,2092,7.4
51,Bub CarringtonWAS | SG,20,2458,7.4
52,Keaton WallaceATL | PG,26,501,7.4
53,Dejounte MurrayNOP | PG,29,1012,7.4
54,Domantas SabonisSAC | C,29,2429,7.4
55,Cory Joseph| PG,34,612,7.3
56,Jalen BrunsonNYK | PG,29,2301,7.3
57,Blake WesleyPOR | PG,22,683,7.3
58,Fred VanVleetHOU | PG,31,2111,7.3
59,Devin BookerPHX | SG,29,2795,7.2
60,Mason PlumleeCHA | C,35,1300,7.2
61,Lonzo BallCLE | PG,28,777,7.2
62,Danté ExumDAL | SG,30,372,7.1
63,Ja MorantMEM | PG,26,1519,7.1
64,Kris DunnLAC | PG,31,1783,7.1
65,LaMelo BallCHA | PG,24,1505,7.1
66,Damian LillardPOR | PG,35,2093,7.1
67,Austin ReavesLAL | SG,27,2550,7.1
68,Max StrusCLE | SG,29,1273,7.1
69,Keyonte GeorgeUTA | SG,22,2109,7
70,Malik MonkSAC | SG,27,2054,7
71,Alex CarusoOKC | PG,31,1041,7
72,Rob DillinghamMIN | PG,21,516,6.9
73,Quenton JacksonIND | PG,27,381,6.9
74,Scoot HendersonPOR | PG,21,1759,6.9
75,Marcus SasserDET | PG,25,811,6.9
76,Isaiah HartensteinOKC | C,27,1590,6.9
77,Scottie BarnesTOR | SF,24,2134,6.8
78,Giannis AntetokounmpoMIL | PF,31,2289,6.8
79,Alex Len| C,32,380,6.8
80,Derrick WhiteBOS | SG,31,2574,6.8
81,Chuma Okeke| PF,27,196,6.8
82,Luke KornetSAS | C,30,1361,6.8
83,Desmond BaneORL | SG,27,2205,6.7
84,Jrue HolidayPOR | PG,35,1896,6.7
85,Kevin Porter Jr.MIL | SG,25,1482,6.7
