player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1630173,Precious Achiuwa,Heat,Forward,6-8,243,80,243.0
203500,Steven Adams,Rockets,Center,6-11,265,83,265.0
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,81,255.0
1630534,Ochai Agbaji,Raptors,Guard,6-5,215,77,215.0
1630583,Santi Aldama,Grizzlies,Forward-Center,7-0,215,84,215.0
1641725,Trey Alexander,Pelicans,Guard,6-5,185,77,185.0
1629638,Nickeil Alexander-Walker,Hawks,Guard,6-5,205,77,205.0
1628960,Grayson Allen,Suns,Guard,6-3,198,75,198.0
1628386,Jarrett Allen,Cavaliers,Center,6-9,243,81,243.0
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,72,179.0
203937,Kyle Anderson,Jazz,Forward-Guard,6-8,230,80,230.0
203507,Giannis Antetokounmpo,Bucks,Forward,6-11,243,83,243.0
1630175,Cole Anthony,Bucks,Guard,6-2,185,74,185.0
1628384,OG Anunoby,Knicks,Forward-Guard,6-7,240,79,240.0
1642379,Taran Armstrong,Warriors,Guard,6-5,190,77,190.0
1630166,Deni Avdija,Trail Blazers,Forward,6-9,228,81,228.0
1629028,Deandre Ayton,Lakers,Center,7-0,252,84,252.0
1630542,Marcus Bagley,,Forward,6-6,217,78,217.0
1628963,Marvin Bagley III,Wizards,Forward,6-10,235,82,235.0
1631116,Patrick Baldwin Jr.,Clippers,Forward,7-0,220,84,220.0
1630163,LaMelo Ball,Hornets,Guard,6-7,180,79,180.0
1628366,Lonzo Ball,Cavaliers,Guard,6-6,190,78,190.0
1628964,Mo Bamba,Jazz,Center,7-0,231,84,231.0
1631094,Paolo Banchero,Magic,Forward,6-10,250,82,250.0
1630217,Desmond Bane,Magic,Guard,6-5,215,77,215.0
1630625,Dalano Banton,Mavericks,Forward,6-8,203,80,203.0
1631230,Dominick Barlow,76ers,Forward,6-9,215,81,215.0
203084,Harrison Barnes,Spurs,Forward,6-7,225,79,225.0
1630567,Scottie Barnes,Raptors,Forward-Guard,6-8,237,80,237.0
1629628,RJ Barrett,Raptors,Forward-Guard,6-6,214,78,214.0
1629646,Charles Bassey,Hawks,Center-Forward,6-10,230,82,230.0
1641734,Emoni Bates,76ers,Forward,6-9,202,81,202.0
1642419,Jamison Battle,Raptors,Forward,6-7,220,79,220.0
