player_name,team,position,height_in,wingspan_in,length_in
Talen Horton-Tucker,,SG,74.5,85.25,10.75
Mo Bamba,,C,83.25,94.0,10.75
Jalen Williams,OKC,SG,76.5,86.25,9.75
Robert Williams III,POR,C,80.0,89.5,9.5
Isaiah Stewart,DET,C,79.25,88.75,9.5
Udoka Azubuike,,C,82.0,91.25,9.25
Frank Ntilikina,,PG,76.0,85.0,9.0
Kawhi Leonard,LAC,SF,78.0,87.0,9.0
Josh Okogie,HOU,SF,75.0,84.0,9.0
Rasheer Fleming,PHX,PF,80.25,89.25,9.0
Bilal Coulibaly,WAS,SF,78.0,86.5,9.0
Cedric Coward,MEM,SG,77.26,86.25,8.99
Thomas Sorber,OKC,C,81.25,90.0,8.75
Nassir Little,,SF,76.5,85.25,8.75
Donovan Mitchell,CLE,SG,73.25,82.0,8.75
Reggie Jackson,,PG,74.5,83.25,8.75
Andre Drummond,PHI,C,81.75,90.25,8.5
Kelly Oubre Jr.,PHI,SF,77.75,86.25,8.5
Wendell Moore Jr.,,SG,76.25,84.75,8.5
Thomas Bryant,,C,81.5,90.0,8.5
Moses Moody,GSW,SG,76.5,84.75,8.25
Oscar Tshiebwe,,C,79.25,87.5,8.25
Jarrett Allen,CLE,C,81.0,89.25,8.25
Shake Milton,,SG,76.5,84.75,8.25
Jerami Grant,POR,PF,78.5,86.75,8.25
DeAndre Jordan,,C,81.75,90.0,8.25
Anthony Davis,DAL,C,81.25,89.5,8.25
Brandon Ingram,TOR,SF,79.0,87.0,8.0
Jordan Walsh,BOS,SF,77.75,85.75,8.0
Keita Bates-Diop,,PF,79.25,87.25,8.0
Keyontae Johnson,,SF,76.0,84.0,8.0
Jarace Walker,IND,PF,78.5,86.5,8.0
OG Anunoby,NYK,SF,78.25,86.25,8.0
Rudy Gobert,MIN,C,84.5,92.5,8.0
Chris Boucher,BOS,C,80.0,88.0,8.0
P.J. Washington,DAL,PF,78.5,86.5,8.0
Victor Wembanyama,SAS,C,88.0,96.0,8.0
Wendell Carter Jr.,ORL,C,80.75,88.5,7.75
Kevin Durant,HOU,PF,81.0,88.75,7.75
Miles McBride,NYK,PG,73.0,80.75,7.75
Ryan Rollins,MIL,PG,74.0,81.75,7.75
Scottie Barnes,TOR,SF,79.0,86.75,7.75
Jonathan Mogbo,TOR,PF,78.25,86.0,7.75
Aaron Holiday,HOU,PG,71.75,79.5,7.75
Terry Rozier,MIA,PG,72.5,80.25,7.75
Norman Powell,MIA,SG,75.0,82.75,7.75
Robert Covington,,PF,78.25,85.75,7.5
Draymond Green,GSW,PF,77.75,85.25,7.5
Kevon Looney,NOP,C,80.0,87.5,7.5
Jaren Jackson Jr.,MEM,PF,81.75,89.25,7.5
Adem Bona,PHI,C,80.25,87.75,7.5
MarJon Beauchamp,,SG,77.25,84.75,7.5
Bones Hyland,MIN,PG,74.0,81.5,7.5
Tari Eason,HOU,PF,78.75,86.0,7.25
Shaedon Sharpe,POR,SG,76.25,83.5,7.25
Jordan Miller,LAC,SF,76.5,83.75,7.25
Ryan Dunn,PHX,PF,78.25,85.5,7.25
Kyle Anderson,UTA,PF,79.5,86.75,7.25
Marcus Smart,LAL,PG,74.0,81.25,7.25
Mikal Bridges,NYK,SF,77.75,85.0,7.25
Charles Bassey,,C,81.0,87.5,7.0
Pascal Siakam,IND,PF,80.25,87.25,7.0
Vince Williams Jr.,MEM,SG,76.0,83.0,7.0
P.J. Tucker,,PF,76.5,83.5,7.0
Eric Gordon,PHI,SG,74.0,81.0,7.0
Eugene Omoruyi,,SF,78.0,85.25,7.0
Deandre Ayton,LAL,C,83.0,90.0,7.0
Naji Marshall,DAL,SF,77.75,84.75,7.0
Haywood Highsmith,MIA,SF,77.0,83.5,7.0
De'Andre Hunter,CLE,SF,79.0,86.0,7.0
Isaiah Mobley,,PF,80.0,87.0,7.0
Harrison Ingram,SAS,SF,77.25,84.25,7.0
Saben Lee,,PG,74.0,81.0,7.0
Anfernee Simons,BOS,PG,74.25,81.25,7.0
Zach Edey,MEM,C,87.75,94.75,7.0
Scoot Henderson,POR,PG,74.0,81.0,7.0
JaVale McGee,,C,83.0,90.0,7.0
Shai Gilgeous-Alexander,OKC,PG,76.5,83.5,7.0
David Roddy,TOR,PF,76.5,83.5,7.0
JT Thor,,PF,80.5,87.25,6.75
Ayo Dosunmu,CHI,SG,75.5,82.25,6.75
Trendon Watford,PHI,PF,79.5,86.25,6.75
Thanasis Antetokounmpo,,PF,77.25,84.0,6.75
Terry Taylor,,PF,76.75,83.5,6.75
Collin Sexton,CHA,PG,72.5,79.25,6.75
Dalen Terry,CHI,SG,78.0,84.75,6.75
Drake Powell,BKN,SF,77.25,84.0,6.75
Dennis Schröder,SAC,PG,73.0,79.75,6.75
Mike Conley,MIN,PG,71.0,77.75,6.75
Malcolm Brogdon,,PG,75.75,82.5,6.75
Lonnie Walker IV,,SG,75.75,82.5,6.75
Jalen Duren,DET,C,82.25,89.0,6.75
James Harden,LAC,SG,76.0,82.75,6.75
Cameron Payne,,PG,72.75,79.25,6.5
D'Angelo Russell,DAL,PG,75.25,81.75,6.5
Derrick Rose,,PG,73.5,80.0,6.5
Matisse Thybulle,POR,SF,77.0,83.5,6.5
Dillon Jones,WAS,SF,76.5,83.0,6.5
Clint Capela,HOU,C,82.0,88.5,6.5
Jaylen Brown,BOS,SF,77.25,83.75,6.5
Mark Williams,PHX,C,84.0,90.5,6.5
Christian Koloko,LAL,C,82.75,89.25,6.5
Devin Carter,SAC,SG,74.25,80.75,6.5
Cody Williams,UTA,SF,78.5,85.0,6.5
Naz Reid,MIN,C,80.75,87.25,6.5
Xavier Tillman,BOS,PF,79.5,86.0,6.5
Patrick Beverley,,PG,72.5,79.0,6.5
Bruno Fernando,,C,80.75,87.25,6.5
Dominick Barlow,,PF,80.75,87.0,6.25
De'Anthony Melton,,SG,74.25,80.5,6.25
Rui Hachimura,LAL,PF,79.75,86.0,6.25
Jamir Watkins,WAS,SG,77.0,83.25,6.25
