#,Name,Age,boxCreationEst,offensiveLoad,USGpct,MP
1,Nikola JokićDEN | C,30,18.4,65.8,29.5,2571
2,Trae YoungATL | PG,27,15.6,65.1,29.6,2739
3,Cade CunninghamDET | SG,24,15.2,64.6,33.2,2452
4,LaMelo BallCHA | PG,24,14.2,66.1,35.9,1505
5,Shai Gilgeous-AlexanderOKC | PG,27,14.1,61.9,34.8,2598
6,Luka DončićLAL | SF,26,14.1,61.7,33.9,1769
7,LeBron JamesLAL | PF,41,14,58.8,30.1,2444
8,James HardenLAC | SG,36,13.3,58,29.6,2789
9,Jalen BrunsonNYK | PG,29,12.7,57.1,29.5,2301
10,Ja MorantMEM | PG,26,12.4,59.8,32.2,1519
11,Stephen CurryGSW | PG,37,12.3,54.8,29.8,2252
12,Darius GarlandCLE | PG,26,12.3,54.2,27.2,2301
13,Tyrese HaliburtonIND | PG,25,11.8,53.2,21.6,2451
14,Damian LillardPOR | PG,35,11,51.4,27.8,2093
15,Devin BookerPHX | SG,29,10.3,52.7,29.3,2795
16,Jayson TatumBOS | SF,27,10.2,53.3,31.2,2624
17,Immanuel QuickleyTOR | PG,26,10.1,50.7,25.1,918
18,Donovan MitchellCLE | SG,29,9.7,52.1,30.9,2232
19,Ty JeromeMEM | PG,28,9.6,44.8,23.6,1392
20,Brandon IngramTOR | SF,28,9.4,49.1,30.2,595
21,Tyler HerroMIA | SG,26,9.3,48.2,28,2725
22,Joel EmbiidPHI | C,31,9.3,52.9,34.2,574
23,Josh GiddeyCHI | SF,23,9.2,45.7,21.7,2117
24,Tyrese MaxeyPHI | PG,25,9,51.1,29.8,1960
25,Jordan PooleNOP | SG,26,9,47,29,2001
26,Dejounte MurrayNOP | PG,29,9,51.7,27.3,1012
27,Anthony EdwardsMIN | SG,24,9,48.7,31.4,2871
28,RJ BarrettTOR | SF,25,8.8,49.3,28.7,1869
29,Paolo BancheroORL | PF,23,8.8,52.5,33.6,1582
30,Jared ButlerPHX | SG,25,8.8,47.3,23.6,1044
31,Collin SextonCHA | PG,27,8.8,45.6,27,1758
32,Kevin DurantHOU | PF,37,8.5,44,28.7,2265
33,Jalen WilliamsOKC | SG,24,8.5,47.3,27.5,2237
34,De'Aaron FoxSAS | PG,28,8.5,49.3,28.3,2241
35,Russell Westbrook| PG,37,8.3,45.8,23.8,2092
